run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.05088016563034641,0.05269236579621784,-0.0018122001658714276,0.16475001494456684,0.14788035031245006,0.016869664632116782
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.07464160567190258,0.0807701000639755,-0.006128494392072928,0.38388489577709173,0.33900271910859364,0.044882176668498086
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.0807701000639755,0.07032943668749918,0.010440663376476325,0.33900271910859364,0.23416840363442862,0.10483431547416502
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.07032943668749918,0.1247188461058925,-0.05438940941839332,0.23416840363442862,0.23821053778877435,-0.004042134154345733
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.17427868149720815,0.15195076330773075,0.022327918189477408,0.3845490676587449,0.28072447193783256,0.10382459572091235
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.15195076330773075,0.1387967008573617,0.013154062450369042,0.28072447193783256,0.2812762175373093,-0.0005517455994767384
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.1387967008573617,0.1466061422123216,-0.007809441354959895,0.2812762175373093,0.3105522771059695,-0.029276059568660195
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.06656424217889331,0.06352953561236666,0.003034706566526657,0.3358654697163776,0.32813075610447157,0.00773471361190603
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.06352953561236666,0.05675153205713346,0.006778003555233197,0.32813075610447157,0.2567416903327982,0.07138906577167337
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,C_E2_log_age_eis,C_E3_stress_eis,0.05675153205713346,0.05610712971026941,0.0006444023468640467,0.2567416903327982,0.25515760853135033,0.0015840818014478675
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.05897464034460865,0.07059894057467236,-0.011624300230063715,0.14662222706259614,0.15549475204634153,-0.008872524983745383
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.07059894057467236,0.10242654441175042,-0.031827603837078056,0.15549475204634153,0.17887594141268404,-0.02338118936634251
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.10242654441175042,0.1253193856415515,-0.022892841229801092,0.17887594141268404,0.2495937372503364,-0.07071779583765236
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.08062702255431578,0.07553212717260296,0.005094895381712816,0.35552374608604526,0.3393899285966974,0.016133817489347835
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.07553212717260296,0.07465763971049848,0.0008744874621044868,0.3393899285966974,0.24602718234275206,0.09336274625394536
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.07465763971049848,0.07599611074990273,-0.0013384710394042515,0.24602718234275206,0.3230149141792981,-0.07698773183654606
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.09456885231857935,0.08869326381507835,0.005875588503501006,0.3626920937020726,0.368580340067412,-0.005888246365339411
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.08869326381507835,0.09001224782513266,-0.0013189840100543138,0.368580340067412,0.3184406904631623,0.050139649604249714
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.09001224782513266,0.14791610264979324,-0.05790385482466058,0.3184406904631623,0.3403598053596286,-0.021919114896466307
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.1573549780738717,0.13959668570546413,0.017758292368407563,0.333893241566383,0.22758872309650222,0.10630451846988079
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.13959668570546413,0.10004143887161787,0.03955524683384626,0.22758872309650222,0.18791237640549796,0.039676346691004255
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.10004143887161787,0.11382171042255827,-0.013780271550940401,0.18791237640549796,0.2144663288945985,-0.02655395248910053
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.062332504898827024,0.05965796243836098,0.0026745424604660423,0.3348318768899737,0.2494145573495813,0.08541731954039239
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.05965796243836098,0.04754568259810063,0.012112279840260351,0.2494145573495813,0.17465508752117484,0.07475946982840645
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,C_E2_log_age_eis,C_E3_stress_eis,0.04754568259810063,0.04617035507637099,0.0013753275217296412,0.17465508752117484,0.2060863023877124,-0.03143121486653755
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.05992470783697613,0.09975592208156125,-0.03983121424458513,0.15915036057851778,0.15634749622307387,0.0028028643554439125
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.09975592208156125,0.09386134768384162,0.005894574397719635,0.15634749622307387,0.16024325354575192,-0.0038957573226780506
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.09386134768384162,0.0911128099387668,0.0027485377450748166,0.16024325354575192,0.18603387087826073,-0.025790617332508814
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.07854034213685432,0.07300345890344345,0.005536883233410866,0.3596993858403401,0.2959058885710028,0.06379349726933731
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.07300345890344345,0.057134084295102874,0.015869374608340578,0.2959058885710028,0.169796088113044,0.1261098004579588
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.057134084295102874,0.05851554004737056,-0.0013814557522676824,0.169796088113044,0.18601231338901275,-0.01621622527596875
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E0_state_time_eis,C_E1_nominal_eis,0.07011629039161982,0.08791834461538052,-0.017802054223760702,0.36690769971092135,0.35503529233095676,0.011872407379964589
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E1_nominal_eis,C_E2_log_age_eis,0.08791834461538052,0.08200128052205337,0.005917064093327151,0.35503529233095676,0.2606035974715748,0.09443169485938196
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,C_E2_log_age_eis,C_E3_stress_eis,0.08200128052205337,0.12878717714120275,-0.04678589661914938,0.2606035974715748,0.2578446580214603,0.002758939450114517
