figure_path,exists,nonempty,source_csv_count,nonempty_source_csv_count
reports/baselines/neural_sequence_gate_ridge_controls/figures/neural_sequence_gain_matrix.svg,True,True,7,6
reports/baselines/neural_sequence_gate_ridge_controls/figures/true_vs_shuffled_by_split.svg,True,True,7,6
reports/baselines/neural_sequence_gate_ridge_controls/figures/c_rate_delta_leaderboard.svg,True,True,7,6
reports/baselines/neural_sequence_gate_ridge_controls/figures/condition_error_hotspots.svg,True,True,7,6
reports/baselines/neural_sequence_gate_ridge_controls/figures/training_curves.svg,True,True,7,6
reports/baselines/neural_sequence_gate_ridge_controls/figures/sequence_sampling_coverage.svg,True,True,7,6
reports/baselines/neural_sequence_gate_ridge_controls/figures/claim_readiness_summary.svg,True,True,7,6
