run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.02122155381451264,0.049228279172732696,-0.009675730313753223,0.03186480400489274,0.0277548126076878,0.09713324791273255
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.03576492511077143,0.08011857633720798,0.009020578875097008,0.06083129903987221,0.06185532622974662,0.16620084196791235
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.022811136778232495,0.047586998017114614,-0.010443161569201978,0.03740465501714758,0.049452393593346036,0.06961395001926464
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.025600066499479896,0.0720559487259855,0.013018400977993236,0.05096569744140778,0.041725478334202516,0.1720059040126367
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.03572260366766315,0.08122844125747788,-0.007975389058758615,0.04675710622088144,0.04660890366043164,0.14007938019772642
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.07085678021123928,0.11080660071464454,-0.020804836451873213,0.09338510861176343,0.08006914687035885,0.19146631881502038
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.11110531198189352,0.13602115893042033,-0.09008918206483872,0.12494545241789738,0.14043557612389013,0.20471906112513952
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,3,capacity_Ah_k1,derived_capacity_from_delta,1326,16,0.20830699892468482,0.21230675393426676,-0.20830699892468482,0.20861720230586664,0.1989158376501617,0.26018463142187814
primary,L2_hist_gradient_boosting,F6_coupled_stress,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.07673710686748358,0.1214552846397486,0.033025894675283884,0.10254128410922402,0.08321563199469258,0.21582904722156782
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.025698384745601828,0.06659335203585709,-0.0038964939857569734,0.03850655810721207,0.02443830968904326,0.17234662077666135
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.02054526779388077,0.061461463312738954,0.0016355969259073773,0.038545526298207664,0.02241087332737993,0.15115425662045853
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.022894465211615592,0.05265188338909102,-0.01069355579559974,0.031983508485442486,0.028654871625693804,0.08380566540325259
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.035625590627824104,0.07939519673253372,0.00681029256786546,0.06272921352193803,0.05941660905284754,0.1699729700997907
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.022251662643260846,0.04388285733363968,-0.0063065181022152715,0.039511518597911584,0.037979631410153626,0.08678747936798514
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.025467563772161576,0.07070865545715978,0.010615772335982715,0.05296795460180178,0.04667106239203796,0.14145216260245164
primary,L2_hist_gradient_boosting,F6_coupled_stress,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.033041012136719165,0.07783607534877529,-0.007786648162555016,0.04317545936681606,0.03652509624869218,0.13442211391324183
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.06576987956352573,0.10955646368288771,-0.015031324175558573,0.09110199389500429,0.07204868633943941,0.19867907787464878
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.12032397292133809,0.14295507585181716,-0.09990499159429808,0.13056914238292391,0.13401201503672888,0.23646838737381937
