run_scope,model_level,feature_group,split_name,heldout_fold,target,direct_path,derived_path,direct_mae,derived_mae,derived_minus_direct_mae,derived_better,direct_condition_mean_mae,derived_condition_mean_mae,derived_minus_direct_condition_mean_mae
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,0,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.03289566008635639,0.02444838925807841,-0.008447270828277977,True,0.049542362568819345,0.038752218090424374,-0.010790144478394971
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,0,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.024448389258078407,0.03289566008635639,0.00844727082827798,False,0.03875221809042437,0.049542362568819345,0.010790144478394978
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.023721165332869068,0.021790126448592774,-0.001931038884276294,True,0.04127612923393777,0.042799950401701946,0.0015238211677641791
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.021790126448592777,0.023721165332869068,0.0019310388842762906,False,0.042799950401701946,0.04127612923393777,-0.0015238211677641791
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.026476190606182278,0.020846481229092835,-0.005629709377089443,True,0.043338708364908045,0.0331936997650011,-0.010145008599906948
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.020846481229092842,0.026476190606182278,0.005629709377089436,False,0.0331936997650011,0.043338708364908045,0.010145008599906948
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04273164952966524,0.03759534005791168,-0.0051363094717535585,True,0.07445818513387871,0.06214658171231007,-0.012311603421568638
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03759534005791167,0.04273164952966524,0.005136309471753565,False,0.06214658171231006,0.07445818513387871,0.012311603421568652
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,4,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.029152454756004205,0.027395824588282523,-0.0017566301677216824,True,0.06101794107932577,0.04633214816159763,-0.01468579291772814
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,4,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.027395824588282523,0.029152454756004205,0.0017566301677216824,False,0.046332148161597614,0.06101794107932577,0.014685792917728153
