target,grouping,group_value,parameter_set_count,total_intervals,mean_mae,mean_rmse,mean_signed_bias,worst_parameter_set,worst_mae
capacity_Ah_k1,capacity_Ah_k_bin,2.4-2.6,1,9,0.10245694433960886,0.14833159982166852,0.06317046676360033,28,0.10245694433960886
capacity_Ah_k1,capacity_Ah_k_bin,2.6-2.8,5,39,0.1403226758263188,0.16680576089416138,0.13019242015598348,32,0.2192951227743526
capacity_Ah_k1,capacity_Ah_k_bin,<2.4,4,97,0.07236105882770114,0.11847957308031666,0.034268766989755194,60,0.1450422257825303
capacity_Ah_k1,capacity_Ah_k_bin,>=2.8,2,12,0.17687447636670747,0.23201923147228476,0.17687447636670747,36,0.24303524846680977
delta_capacity_Ah,capacity_Ah_k_bin,2.4-2.6,1,9,0.052117357280572235,0.06064555008099516,0.006352734470791571,28,0.052117357280572235
delta_capacity_Ah,capacity_Ah_k_bin,2.6-2.8,5,39,0.12256299172384422,0.14235857695912718,0.07739294710846265,20,0.193505570859936
delta_capacity_Ah,capacity_Ah_k_bin,<2.4,4,97,0.07780378997261583,0.12464180181326645,0.00346655689208611,60,0.1284056043481307
delta_capacity_Ah,capacity_Ah_k_bin,>=2.8,2,12,0.11872288992042253,0.14113893673853453,0.09778973243886659,36,0.1409193254875654
