run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.02790178257342384,0.05817128317721112,-0.014592133486582342,0.041910991114083904,0.033716908620748415,0.15540117668515954
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.04416189215177214,0.09616907510169628,0.008595641960057071,0.07800117657811333,0.06854715601039041,0.23444861570627773
primary,L2_hist_gradient_boosting,F5_log_age_histograms,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.030653811925909383,0.06251414791362213,-0.005379822788119434,0.06161682732615833,0.05079992783775557,0.2112935671981602
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.030469082752947924,0.08356915275536808,0.00909592061210142,0.07061434193420002,0.0508307760352408,0.27275148409934113
primary,L2_hist_gradient_boosting,F5_log_age_histograms,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.04365151681185464,0.09395630982133812,-0.005541085775105895,0.06043657016886689,0.05403034736016599,0.15255621670896338
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,1130,28,0.06855770329877638,0.11275628917942578,-0.01883108378959998,0.10324550080457837,0.08274841040565821,0.2838705235976205
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.09410416664025881,0.1245488669159191,-0.05789426950131995,0.12129583491610724,0.11212382439726877,0.39478805679996065
primary,L2_hist_gradient_boosting,F5_log_age_histograms,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.29427900843614957,0.34621612349952424,-0.29427900843614957,0.29561563952641673,0.34932486629578396,0.41833012587148144
primary,L2_hist_gradient_boosting,F6_coupled_stress,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.08821333355968536,0.14834268727026897,0.06146908102252771,0.1238989099943343,0.10378848649383732,0.2568744753749343
primary,L2_hist_gradient_boosting,F6_coupled_stress,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.031962447426067554,0.07906888528686987,-0.008225657148094612,0.04556781666694119,0.043875016622553845,0.12056414008650147
