target,grouping,group_value,parameter_set_count,total_intervals,mean_mae,mean_rmse,mean_signed_bias,worst_parameter_set,worst_mae
capacity_Ah_k1,voltage_window_family,approx_0_100,4,31,0.15060716319702583,0.18873575083465643,0.14247041859228965,32,0.2192951227743526
capacity_Ah_k1,voltage_window_family,approx_10_100,4,36,0.14949397621485896,0.2003491943267946,0.12957818053268585,36,0.24303524846680977
capacity_Ah_k1,voltage_window_family,approx_10_90,4,90,0.06171473846697077,0.09099434472812688,0.029190547934012843,28,0.10245694433960886
delta_capacity_Ah,voltage_window_family,approx_0_100,4,31,0.12748858889237102,0.1497713847357337,0.08101496877984915,20,0.193505570859936
delta_capacity_Ah,voltage_window_family,approx_10_100,4,36,0.11717799680967818,0.15321673210085082,0.07272288138203967,36,0.1409193254875654
delta_capacity_Ah,voltage_window_family,approx_10_90,4,90,0.05873172820572622,0.08533276206510693,-0.0030470595470931923,40,0.07326388850505909
