run_scope,model_level,target,split_name,from_feature_group,to_feature_group,f4_condition_mean_mae,feature_condition_mean_mae,condition_mean_mae_gain,f4_worst_condition_mae,feature_worst_condition_mae,success_vs_f4
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.10113277130259181,0.10251578832333012,-0.0013830170207383141,0.193505570859936,0.21193834940315578,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.10113277130259181,0.13917991973946245,-0.03804714843687064,0.193505570859936,0.2699677504478344,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.10113277130259181,0.15502890665400532,-0.05389613535141351,0.193505570859936,0.29739903766425096,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.044644919626207015,0.041947367860054485,0.0026975517661525297,0.18312179107343562,0.17153293304126419,True
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F6_coupled_stress,0.044644919626207015,0.04225526500214237,0.002389654624064645,0.18312179107343562,0.17234662077666132,True
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.044644919626207015,0.05638762939087991,-0.011742709764672898,0.18312179107343562,0.23901348904277964,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.044644919626207015,0.04170028239886194,0.0029446372273450733,0.18312179107343562,0.1901932227892993,True
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.044644919626207015,0.05258635365317767,-0.007941434026970652,0.18312179107343562,0.24869269100683855,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.044644919626207015,0.0610889562753976,-0.016444036649190585,0.18312179107343562,0.3188046861123515,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.04857476766234761,0.04886140183114461,-0.0002866341687969981,0.16868537789777535,0.17200590401263677,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.04857476766234761,0.048071706984308925,0.0005030606780386873,0.16868537789777535,0.1414521626024517,True
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.04857476766234761,0.06382188336835336,-0.015247115706005746,0.16868537789777535,0.27021738372040355,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.04857476766234761,0.048683704783932746,-0.00010893712158513424,0.16868537789777535,0.14762688345553496,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F9_event_segmented_stress,0.04857476766234761,0.05993416932066867,-0.011359401658321056,0.16868537789777535,0.2665162513374439,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F4_state_log_age_scalar,F10_c_rate_v1_1,0.04857476766234761,0.06755914074988177,-0.01898437308753416,0.16868537789777535,0.2936675589941423,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.07084470672683431,0.14231592111184246,-0.07147121438500816,0.2315662886975436,0.26018463142187825,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F6_coupled_stress,0.07084470672683431,0.13491693532158888,-0.06407222859475457,0.2315662886975436,0.23907732851825372,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F7_c_rate_focused,0.07084470672683431,0.12741773946815294,-0.05657303274131863,0.2315662886975436,0.31627813046268105,False
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F8_timestamp_weighted_stress,0.07084470672683431,0.12657196344726485,-0.05572725672043054,0.2315662886975436,0.22343841235845485,False
