diagnostic_family,feature_group,horizon_checkups,mean_condition_mae,mean_mae,mean_rmse,model_level,rows,split_name,target_name,total_test_rows,worst_condition_mae
eis,DH2_prior_same_diagnostic_state,5,0.4443903920780868,0.38592730178706547,0.5042302315790969,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,7771,1.3881136942912806
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.4236662115650887,0.358220423027342,0.470540692778815,DM3_hist_gradient_boosting,12,all,eis_phase_1kHz,7771,1.3096101074025064
eis,persistence,1,0.0008316563895984344,0.0004535565272426793,0.0010434397762278667,DM0_persistence,12,all,eis_z_abs_1kHz,10131,0.0035798333333333337
eis,train_mean,1,0.0017032986576579446,0.0015327653310679677,0.0022177411842061435,DM1_train_mean,12,all,eis_z_abs_1kHz,10131,0.0036738775556308598
eis,DH0_time_nominal,1,0.0015280101063399876,0.001320475667278534,0.001970154333587032,DM2_ridge,12,all,eis_z_abs_1kHz,10131,0.005197321115387019
eis,DH1_capacity_state,1,0.00134119885384696,0.0011503721992724098,0.0015651818991293967,DM2_ridge,12,all,eis_z_abs_1kHz,10131,0.005202567214854201
eis,DH2_prior_same_diagnostic_state,1,0.0007808233828978684,0.0005202037980581785,0.0008992865922750885,DM2_ridge,12,all,eis_z_abs_1kHz,10131,0.0030186702894455715
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.0006433502507752709,0.00042485180846028544,0.0007671185088286742,DM2_ridge,12,all,eis_z_abs_1kHz,10131,0.0029424818851084256
eis,DH0_time_nominal,1,0.0014275777260583326,0.0013968239661894075,0.0021767290557480725,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,10131,0.004936555061158283
eis,DH1_capacity_state,1,0.0009381649936280005,0.0007789570242068023,0.0012443697454495677,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,10131,0.004220681579373905
eis,DH2_prior_same_diagnostic_state,1,0.0006349296454496947,0.0003870720748809845,0.0008111482423711902,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,10131,0.002840432207729967
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.0005554183449298561,0.00032663057813933264,0.0007309626201219715,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,10131,0.0028900035949856757
eis,persistence,2,0.0015412444604167134,0.0007297234263232022,0.0014620392013387216,DM0_persistence,12,all,eis_z_abs_1kHz,9504,0.0071596666666666675
eis,train_mean,2,0.0019565407235509016,0.001580627311775977,0.0022796225449060975,DM1_train_mean,12,all,eis_z_abs_1kHz,9504,0.005897299973523961
eis,DH0_time_nominal,2,0.0017060176701769833,0.001400950442237556,0.0020425943564674007,DM2_ridge,12,all,eis_z_abs_1kHz,9504,0.005349062019804631
eis,DH1_capacity_state,2,0.0019504274624403295,0.0013753976793553894,0.0018928635310613746,DM2_ridge,12,all,eis_z_abs_1kHz,9504,0.0072976568268186305
eis,DH2_prior_same_diagnostic_state,2,0.0012346245003865973,0.0007631070120079924,0.0012061701015478553,DM2_ridge,12,all,eis_z_abs_1kHz,9504,0.005255265317884055
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.0013009479582001297,0.0007601959360138996,0.0011946465316010687,DM2_ridge,12,all,eis_z_abs_1kHz,9504,0.006193777249505194
eis,DH0_time_nominal,2,0.0016719599289296188,0.001481811110734822,0.0022524264228833773,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,9504,0.005397621747508634
eis,DH1_capacity_state,2,0.0013087656432373852,0.0009411841752915089,0.0015009016135885797,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,9504,0.0051973115208258465
eis,DH2_prior_same_diagnostic_state,2,0.001075599503425722,0.0006109944892916027,0.0011505133586297116,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,9504,0.0053543853212812
eis,DH3_capacity_plus_prior_same_diagnostic,2,0.0010544896905074182,0.0005743494374778091,0.0011080939194360441,DM3_hist_gradient_boosting,12,all,eis_z_abs_1kHz,9504,0.005409937320974285
eis,persistence,3,0.0014350097289624634,0.0008664380173213031,0.0016329919140197456,DM0_persistence,12,all,eis_z_abs_1kHz,8873,0.005058666666666665
eis,train_mean,3,0.0017530501356900843,0.001572800477065298,0.0022917354453995255,DM1_train_mean,12,all,eis_z_abs_1kHz,8873,0.003790734796117861
eis,DH0_time_nominal,3,0.0016808885810133194,0.001415875702490156,0.0020744402005166015,DM2_ridge,12,all,eis_z_abs_1kHz,8873,0.005399578558566331
eis,DH1_capacity_state,3,0.0017737590548533649,0.001422501648171646,0.0019523784754322704,DM2_ridge,12,all,eis_z_abs_1kHz,8873,0.0061770887214539815
eis,DH2_prior_same_diagnostic_state,3,0.001107318633839412,0.0007985343186776647,0.001300719147841855,DM2_ridge,12,all,eis_z_abs_1kHz,8873,0.004277101294059375
eis,DH3_capacity_plus_prior_same_diagnostic,3,0.001159183240721903,0.000825387743804639,0.0012896950321412072,DM2_ridge,12,all,eis_z_abs_1kHz,8873,0.004407841042173785
