split_name,target,horizon_checkups,contrast_family,candidate_model_level,candidate_feature_group,reference_model_level,reference_feature_group,matched_rows,matched_contrasts,candidate_sign_accuracy,reference_sign_accuracy,accuracy_gain,accuracy_gain_p05,accuracy_gain_p50,accuracy_gain_p95,bootstrap_count,claim_scope
c_rate_holdout_fold,delta_capacity_Ah_h,2,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,27,11,0.8148148148148148,0.8888888888888888,-0.07407407407407407,-0.19047619047619047,-0.08166666666666667,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,52,25,0.8269230769230769,0.9038461538461539,-0.07692307692307698,-0.16994552058111378,-0.07547169811320753,0.018904920458749523,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,temperature,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,18,7,0.7777777777777778,0.8333333333333334,-0.05555555555555558,-0.18181818181818177,-0.05555555555555558,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,temperature,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,33,15,0.7878787878787878,0.9090909090909091,-0.12121212121212122,-0.26086956521739124,-0.125,-0.02499999999999991,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,voltage_window,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,9,4,0.8888888888888888,1.0,-0.11111111111111116,-0.33541666666666664,-0.10555555555555557,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,voltage_window,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,19,10,0.8947368421052632,0.8947368421052632,0.0,-0.1499999999999999,0.0,0.125,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,16,6,0.8125,0.8125,0.0,0.0,0.0,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,27,11,0.8888888888888888,0.8888888888888888,0.0,-0.0714285714285714,0.0,0.1254166666666665,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,temperature,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,11,3,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,temperature,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,18,7,0.8333333333333334,0.8888888888888888,-0.05555555555555547,-0.09523809523809523,-0.05555555555555547,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,voltage_window,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,5,3,1.0,1.0,0.0,0.0,0.0,0.0,200,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,voltage_window,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,9,4,1.0,0.8888888888888888,0.11111111111111116,0.0,0.11111111111111116,0.375,200,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH0_persistence,persistence,2874,227,0.918580375782881,0.9248434237995825,-0.006263048016701522,-0.02214471163740564,-0.007060313520441952,0.010111778027871516,200,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH1_prior_slope_linear,prior_slope,2874,227,0.918580375782881,0.9279749478079332,-0.009394572025052228,-0.023228731233880487,-0.007838462360421017,0.002924386096832144,200,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,all,MH3_hist_gradient_boosting,K2_nominal_condition,MH2_ridge,K2_nominal_condition,2874,227,0.918580375782881,0.8343771746694503,0.08420320111343071,0.04888243528487903,0.08094095659540684,0.11439311852485505,200,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,charge_c_rate,MH3_hist_gradient_boosting,K2_nominal_condition,MH0_persistence,persistence,172,34,0.9709302325581395,0.8895348837209303,0.08139534883720922,0.04948871936373958,0.08426966292134835,0.14565288534962367,200,prospective_supported_contrast_diagnostic
