split_name,target,horizon_checkups,model_level,feature_group,contrast_family,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,mean_effect_abs_error,median_effect_abs_error,observed_tie_rows,predicted_tie_rows,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,voltage_window,9,4,9,8,0.8888888888888888,0.2734097566268954,0.22232970030227284,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,all,27,11,27,26,0.9629629629629629,0.14299853391722858,0.12383929814871264,0,0,oracle_diagnostic_only
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,temperature,18,7,18,17,0.9444444444444444,0.11518366514650685,0.11871815625892479,0,0,oracle_diagnostic_only
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,voltage_window,9,4,9,9,1.0,0.19862827145867204,0.13708163992105193,0,0,oracle_diagnostic_only
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,27,11,27,24,0.8888888888888888,0.24026406660150168,0.22610388189889452,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,18,7,18,15,0.8333333333333334,0.2717635265355456,0.2792053443796805,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,9,4,9,9,1.0,0.17726514673341387,0.13676850211316172,0,0,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,all,27,11,27,25,0.9259259259259259,0.1502020254108292,0.14090937846409934,0,0,oracle_diagnostic_only
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,temperature,18,7,18,16,0.8888888888888888,0.1321148767345481,0.1483219987976021,0,0,oracle_diagnostic_only
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,voltage_window,9,4,9,9,1.0,0.18637632276339133,0.13611184630604845,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,all,52,25,0,0,nan,0.34435897435897433,0.2863593333333333,0,52,prospective_supported_contrast_diagnostic
