split_name,target,horizon_checkups,contrast_family,effect_bin,matched_rows,matched_contrasts,hgb_sign_accuracy,prior_slope_sign_accuracy,sign_accuracy_gain_vs_prior,hgb_mean_effect_abs_error,prior_slope_mean_effect_abs_error,mean_abs_error_gain_vs_prior,hgb_sign_correct_rows,prior_slope_sign_correct_rows,claim_scope
profile_holdout_fold,capacity_Ah_kh,3,temperature,medium_0.02_to_0.05Ah,53,11,0.7735849056603774,0.7735849056603774,0.0,0.05605413519404747,0.03744413207547177,-0.018610003118575698,41,41,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,temperature,small_0.01_to_0.02Ah,22,7,0.6363636363636364,0.6363636363636364,0.0,0.0854773588216919,0.030287727272727286,-0.05518963154896461,14,14,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,temperature,tiny_lt_0.01Ah,22,6,0.7727272727272727,0.45454545454545453,0.3181818181818182,0.05969609540333944,0.025606999999999956,-0.03408909540333949,17,10,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,all,large_ge_0.05Ah,167,30,0.8682634730538922,0.9559748427672956,-0.08771136971340343,0.1567521609034813,0.1471949640718563,-0.009557196831624981,145,152,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,all,medium_0.02_to_0.05Ah,83,22,0.7108433734939759,0.8028169014084507,-0.09197352791447488,0.04924380997454541,0.03399318875502007,-0.015250621219525341,59,57,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,all,small_0.01_to_0.02Ah,70,19,0.6,0.796875,-0.19687500000000002,0.022953078118300812,0.016049104761904742,-0.00690397335639607,42,51,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,all,tiny_lt_0.01Ah,142,20,0.6830985915492958,0.7536231884057971,-0.07052459685650136,0.014849517553870267,0.00923199765258212,-0.005617519901288146,97,104,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,profile,large_ge_0.05Ah,59,12,0.7966101694915254,1.0,-0.2033898305084746,0.17841942730251717,0.15954957909604522,-0.018869848206471945,47,54,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,profile,medium_0.02_to_0.05Ah,39,8,0.7692307692307693,0.8888888888888888,-0.11965811965811957,0.03264710057367848,0.0243296581196581,-0.008317442454020378,30,32,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,profile,small_0.01_to_0.02Ah,24,7,0.5,0.7619047619047619,-0.26190476190476186,0.01643442020019748,0.013465986111111078,-0.0029684340890864004,12,16,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,profile,tiny_lt_0.01Ah,42,7,0.6904761904761905,0.7804878048780488,-0.09001161440185834,0.012750393729888117,0.011598547619047581,-0.0011518461108405362,29,32,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,temperature,large_ge_0.05Ah,108,18,0.9074074074074074,0.9333333333333333,-0.025925925925925908,0.1449154135188228,0.14044568364197532,-0.004469729876847489,98,98,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,temperature,medium_0.02_to_0.05Ah,44,14,0.6590909090909091,0.7142857142857143,-0.05519480519480524,0.06395452967076837,0.0425585909090909,-0.021395938761677467,29,25,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,temperature,small_0.01_to_0.02Ah,46,12,0.6521739130434783,0.813953488372093,-0.16177957532861476,0.026354117032093855,0.0173968188405797,-0.008957298191514154,30,35,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,temperature,tiny_lt_0.01Ah,100,13,0.68,0.7422680412371134,-0.06226804123711338,0.01573114955994277,0.008238046666666629,-0.00749310289327614,68,72,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,all,large_ge_0.05Ah,182,30,0.8461538461538461,0.863905325443787,-0.017751479289940808,0.19287452807136657,0.1957104175824176,0.002835889511051043,154,146,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,all,medium_0.02_to_0.05Ah,84,20,0.5903614457831325,0.875,-0.28463855421686746,0.06457153163452009,0.03964951190476191,-0.02492201972975818,49,63,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,all,small_0.01_to_0.02Ah,76,17,0.49333333333333335,0.7945205479452054,-0.3011872146118721,0.04110166443697424,0.020393622807017512,-0.020708041629956726,37,58,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,all,tiny_lt_0.01Ah,90,17,0.5777777777777777,0.7159090909090909,-0.13813131313131322,0.03492298935081075,0.01443210740740739,-0.020490881943403358,52,63,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,3,profile,large_ge_0.05Ah,63,12,0.7936507936507936,0.9310344827586207,-0.13738368910782706,0.21789880801676792,0.2061423068783069,-0.011756501138461023,50,54,prospective_supported_contrast_diagnostic
