split_name,target,horizon_checkups,model_level,feature_group,contrast_family,top_k,effective_top_k,contrast_rows,topk_overlap_fraction,mean_observed_effect_selected,mean_observed_effect_best,regret_vs_observed_best,status,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,3,3,11,0.0,-0.5185783333333331,-0.19296422916666664,0.3256141041666665,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,5,5,11,0.6,-0.39202887083333315,-0.23094347083333325,0.1610853999999999,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,3,3,7,0.3333333333333333,-0.5185783333333331,-0.22157711805555536,0.2970012152777778,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,5,5,7,0.8,-0.38384213749999985,-0.3780957374999999,0.005746399999999929,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,3,3,4,0.6666666666666666,-0.3277745972222223,-0.32464755555555563,0.0031270416666666634,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,5,4,4,1.0,-0.36682011458333336,-0.36682011458333336,0.0,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,3,3,11,0.0,-0.5185783333333331,-0.19296422916666664,0.3256141041666665,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,5,5,11,0.6,-0.3891270666666665,-0.23094347083333325,0.15818359583333327,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,temperature,3,3,7,0.3333333333333333,-0.5185783333333331,-0.22157711805555536,0.2970012152777778,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,temperature,5,5,7,0.8,-0.38384213749999985,-0.3780957374999999,0.005746399999999929,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,voltage_window,3,3,4,0.6666666666666666,-0.3277745972222223,-0.32464755555555563,0.0031270416666666634,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,voltage_window,5,4,4,1.0,-0.36682011458333336,-0.36682011458333336,0.0,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,all,3,3,11,0.3333333333333333,-0.3632177777777776,-0.19296422916666664,0.17025354861111094,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,all,5,5,11,0.8,-0.2988125374999998,-0.23094347083333325,0.06786906666666656,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,temperature,3,3,7,0.6666666666666666,-0.3632177777777776,-0.22157711805555536,0.14164065972222223,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,temperature,5,5,7,0.8,-0.38384213749999985,-0.3780957374999999,0.005746399999999929,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,voltage_window,3,3,4,0.6666666666666666,-0.3277745972222223,-0.32464755555555563,0.0031270416666666634,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,voltage_window,5,4,4,1.0,-0.36682011458333336,-0.36682011458333336,0.0,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,3,3,11,0.6666666666666666,-0.22157711805555536,-0.19296422916666664,0.028612888888888716,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,5,5,11,0.8,-0.2988125374999998,-0.23094347083333325,0.06786906666666656,evaluated,prospective_supported_contrast_diagnostic
