split_name,target,horizon_checkups,model_level,feature_group,contrast_family,effect_threshold_label,effect_threshold_Ah,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,median_abs_observed_effect_Ah,mean_effect_abs_error,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,temperature,ge_0Ah,0.0,33,15,33,25,0.7575757575757576,0.3393093333333339,0.2883182323232323,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,ge_0.005Ah,0.005,19,10,19,14,0.7368421052631579,0.3028763333333335,0.3241278245614036,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,ge_0.01Ah,0.01,18,9,18,13,0.7222222222222222,0.3083611666666669,0.34205157407407416,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,ge_0.02Ah,0.02,18,9,18,13,0.7222222222222222,0.3083611666666669,0.34205157407407416,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,ge_0.05Ah,0.05,17,9,17,13,0.7647058823529411,0.3138460000000003,0.3589361960784314,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,ge_0Ah,0.0,19,10,19,14,0.7368421052631579,0.3028763333333335,0.3241278245614036,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,ge_0.005Ah,0.005,51,25,51,46,0.9019607843137255,0.3138460000000003,0.29384475896484075,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,ge_0.01Ah,0.01,49,24,49,45,0.9183673469387755,0.3393093333333339,0.3053219547630365,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,ge_0.02Ah,0.02,49,24,49,45,0.9183673469387755,0.3393093333333339,0.3053219547630365,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,ge_0.05Ah,0.05,46,24,46,42,0.9130434782608695,0.38328574999999976,0.32430530937367835,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,ge_0Ah,0.0,52,25,52,46,0.8846153846153846,0.3132523333333337,0.28931610780448713,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,ge_0.005Ah,0.005,32,15,32,30,0.9375,0.3773449166666669,0.28679912183950795,prospective_supported_contrast_diagnostic
