method_id,split_name,reference_label,candidate_path,reference_path,condition_rows,candidate_capacity_from_delta_mae,reference_direct_capacity_mae,condition_mean_mae_gain,relative_degradation,candidate_delta_bias_mean,reference_capacity_bias_mean,candidate_abs_bias_mean,reference_abs_bias_mean,passes_guardrail
adaptive_R2_F8_conservative,c_rate_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,12,0.08108915098979329,0.12518636786777063,0.04409721687797734,-0.3522525465756421,0.03311805825248126,0.1052961041483081,0.05480868780823622,0.1052961041483081,
adaptive_R2_F8_conservative,condition_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,76,0.04269142728458609,0.053868977082656096,0.011177549798070008,-0.20749511877530682,0.006138026013066911,0.015368706648896896,0.0243353215461523,0.03167715256451855,True
adaptive_R2_F8_conservative,profile_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,12,0.08269291452361344,0.08436802390070613,0.0016751093770926984,-0.019854789760918867,-0.03000843774079884,-0.03255585214493441,0.04875774642640784,0.052090470185949055,True
adaptive_R2_F8_conservative,temperature_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,38,0.047573245909515116,0.06929389733378724,0.021720651424272125,-0.3134569169871368,0.018833433037828418,0.0314963899544842,0.031610548727652704,0.049165641999332294,True
adaptive_R2_F8_conservative,voltage_window_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,76,0.12330072058255237,0.09168270073941973,-0.031618019843132644,0.34486353028579814,-0.05881106915878522,-0.0074826293165245455,0.09884562778640808,0.05454338634731326,False
adaptive_R2_F8_conservative,c_rate_holdout_fold,stress_direct_capacity,capacity_from_delta,direct_capacity,12,0.08108915098979329,0.12244211150469492,0.04135296051490163,-0.33773478753930175,0.03311805825248126,0.1042406736388279,0.05480868780823622,0.1042406736388279,
adaptive_R2_F8_conservative,condition_fold,stress_direct_capacity,capacity_from_delta,direct_capacity,76,0.04269142728458609,0.05348028630709126,0.01078885902250517,-0.20173525176275306,0.006138026013066911,0.010012515093349024,0.0243353215461523,0.033174199015640615,True
adaptive_R2_F8_conservative,profile_holdout_fold,stress_direct_capacity,capacity_from_delta,direct_capacity,12,0.08269291452361344,0.09760217173253728,0.014909257208923846,-0.15275538386359083,-0.03000843774079884,-0.03709560584688713,0.04875774642640784,0.05762089153840961,True
adaptive_R2_F8_conservative,temperature_holdout_fold,stress_direct_capacity,capacity_from_delta,direct_capacity,38,0.047573245909515116,0.06426764374153761,0.016694397832022492,-0.2597636518177269,0.018833433037828418,0.02427761232354211,0.031610548727652704,0.04474290103680753,True
adaptive_R2_F8_conservative,voltage_window_holdout_fold,stress_direct_capacity,capacity_from_delta,direct_capacity,76,0.12330072058255237,0.15063112043290702,0.027330399850354653,-0.18143926548384107,-0.05881106915878522,-0.0655177586002298,0.09884562778640808,0.11354146696730395,True
targeted_router_D2_F4,c_rate_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,12,0.0904967149458784,0.12518636786777063,0.03468965292189223,-0.2771040770072787,0.04194588987557508,0.1052961041483081,0.04586133127712929,0.1052961041483081,
targeted_router_D2_F4,condition_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,76,0.04456738407968357,0.053868977082656096,0.009301593002972529,-0.1726706818416144,0.007325733014387212,0.015368706648896896,0.023404890452416015,0.03167715256451855,True
targeted_router_D2_F4,profile_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,12,0.10915767923739267,0.08436802390070613,-0.024789655336686534,0.2938276160866564,-0.06757427576605106,-0.03255585214493441,0.07983062905021861,0.052090470185949055,False
targeted_router_D2_F4,temperature_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,38,0.048574767662347605,0.06929389733378724,0.020719129671439636,-0.2990036708663683,0.021145156558535664,0.0314963899544842,0.02868218379346784,0.049165641999332294,True
targeted_router_D2_F4,voltage_window_holdout_fold,F4_direct_capacity,capacity_from_delta,direct_capacity,76,0.08168356148760307,0.09168270073941973,0.009999139251816655,-0.10906244221836545,-0.028903512109152044,-0.0074826293165245455,0.05105729493437687,0.05454338634731326,True
