method_id,split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,reference_label,candidate_condition_mae,reference_condition_mae,condition_mae_gain,relative_degradation,row_count,quality_flagged_rows,severe_qa_flag_rows,monotonicity_unclean_rows,support_score,low_support_flag,failure_role
adaptive_R2_F8_conservative,voltage_window_holdout_fold,3,4,calendar,0.0,calendar_soc_100,0.0,0.0,0,F4_direct_capacity,0.2068342915241992,0.0583875194665728,-0.14844677205762638,2.542440121002452,84,84,56,56,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,3,7,calendar,10.0,calendar_soc_90,0.0,0.0,0,F4_direct_capacity,0.18932098971630926,0.05353377745932257,-0.1357872122569867,2.5364773177114968,84,84,18,18,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,61,cyclic,40.0,approx_10_90,0.33,0.33,0,F4_direct_capacity,0.07551732269023856,0.02135940664504613,-0.054157916045192434,2.535553395522494,84,84,10,10,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,3,5,calendar,10.0,calendar_soc_10,0.0,0.0,0,F4_direct_capacity,0.12907340390451022,0.038807118135678074,-0.09026628576883214,2.326023938526991,84,84,27,27,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,3,15,calendar,40.0,calendar_soc_90,0.0,0.0,0,F4_direct_capacity,0.15018358961314557,0.04613434249156954,-0.10404924712157604,2.255353420081574,78,78,12,12,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,3,3,calendar,0.0,calendar_soc_90,0.0,0.0,0,F4_direct_capacity,0.1932972709263453,0.06121115893441773,-0.13208611199192757,2.15787634626304,84,84,34,34,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,49,cyclic,25.0,approx_10_90,0.33,0.33,0,F4_direct_capacity,0.1057542798319774,0.033750067218925456,-0.07200421261305194,2.1334539023577217,84,84,16,16,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,3,1,calendar,0.0,calendar_soc_10,0.0,0.0,0,F4_direct_capacity,0.13957005073248846,0.044625054192580414,-0.09494499653990804,2.1276163863055673,84,84,30,30,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,38,cyclic,10.0,approx_10_90,0.33,1.0,0,F4_direct_capacity,0.16631727799899182,0.053514255441721746,-0.11280302255727007,2.1079060453361844,60,60,12,12,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,63,cyclic,40.0,approx_10_90,1.0,1.0,0,F4_direct_capacity,0.14859419457964346,0.048324468878476405,-0.10026972570116705,2.0749265957442717,81,81,36,36,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,25,cyclic,0.0,approx_10_90,0.33,0.33,0,F4_direct_capacity,0.1114171580607441,0.042829551008656916,-0.06858760705208719,1.6014085003651786,67,67,13,13,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,51,cyclic,25.0,approx_10_90,1.0,1.0,0,F4_direct_capacity,0.15566308087041827,0.06590461685031727,-0.089758464020101,1.3619450094666454,63,63,20,20,,,hotspot
