method,target,split_name,heldout_fold,nominal_coverage,empirical_coverage,mean_interval_width,median_interval_width,interval_score,n_test_rows,n_test_conditions,n_calibration_conditions
Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,1,0.9,0.6141592920353982,0.16215863809730013,0.16215863809730013,0.8834542048845576,1130,28,48
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,1,0.9,0.6141592920353982,0.16215863809730013,0.16215863809730013,0.8834542048845576,1130,28,48
Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,2,0.8,0.7724288840262582,0.2592095854649394,0.22150403627859383,0.5552021616754935,1371,32,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,2,0.9,0.9153902261123268,0.30389336601780137,0.30389336601780137,0.5211239547603205,1371,32,44
Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,2,0.9,0.8811086797957695,0.24274585428654527,0.24274585428654527,0.5226999869409722,1371,32,44
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,2,0.9,0.8811086797957695,0.24274585428654527,0.24274585428654527,0.5226999869409722,1371,32,44
Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,3,0.8,0.0022624434389140274,0.26272948159097886,0.24731574666864997,1.3355026340022405,1326,16,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,3,0.9,0.9811463046757164,0.3500110546853108,0.3500110546853108,0.3642544678591141,1326,16,60
Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,3,0.9,0.9600301659125189,0.29256779893620966,0.29256779893620966,0.3251673575624308,1326,16,60
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,3,0.9,0.9600301659125189,0.29256779893620966,0.29256779893620966,0.3251673575624308,1326,16,60
Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,0,0.8,0.669431279620853,0.062017724872600544,0.027180513681337382,0.1805417158642171,844,16,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,0,0.9,0.9253554502369669,0.13089994589532616,0.13089994589532616,0.25326746411504525,844,16,60
Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,0,0.9,0.9727488151658767,0.24197797346785763,0.2419779734678576,0.31660194226520083,844,16,60
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,0,0.9,0.9727488151658767,0.24197797346785763,0.2419779734678576,0.31660194226520083,844,16,60
Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,1,0.8,0.7329479768786127,0.05221361266843639,0.017821823408292463,0.17925726398245145,865,15,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,1,0.9,0.9260115606936417,0.13094016078740975,0.13094016078740975,0.2931051554270299,865,15,61
Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,1,0.9,0.9641618497109826,0.2452871652674805,0.2452871652674805,0.35035089857603335,865,15,61
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,1,0.9,0.9641618497109826,0.2452871652674805,0.2452871652674805,0.35035089857603335,865,15,61
Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,2,0.8,0.7802690582959642,0.058625199109835484,0.016157061303798497,0.12685128728556821,892,15,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,2,0.9,0.9035874439461884,0.1266322633019134,0.1266322633019134,0.278404260463462,892,15,61
Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,2,0.9,0.9562780269058296,0.2459693609584818,0.24596936095848182,0.3148661623138756,892,15,61
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,2,0.9,0.9562780269058296,0.2459693609584818,0.24596936095848182,0.3148661623138756,892,15,61
Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,3,0.8,0.75049115913556,0.09708757354890124,0.034521478138622136,0.33807055123248747,509,15,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,3,0.9,0.8349705304518664,0.12096650131556456,0.12096650131556456,0.4442497890214442,509,15,61
Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,3,0.9,0.9115913555992141,0.22863061951085561,0.22863061951085561,0.43606205521965125,509,15,61
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,3,0.9,0.9115913555992141,0.22863061951085561,0.22863061951085561,0.43606205521965125,509,15,61
Q0_hgb_quantile_raw,delta_capacity_Ah,condition_fold,4,0.8,0.691771269177127,0.0745214413150976,0.024882293395968154,0.15321615197784974,717,15,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,condition_fold,4,0.9,0.8702928870292888,0.12267987756253437,0.12267987756253437,0.29216513288049095,717,15,61
Q2_stressor_family_conformal,delta_capacity_Ah,condition_fold,4,0.9,0.9539748953974896,0.24094497888043245,0.24094497888043248,0.32217880995087805,717,15,61
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,condition_fold,4,0.9,0.9539748953974896,0.24094497888043245,0.24094497888043248,0.32217880995087805,717,15,61
Q0_hgb_quantile_raw,delta_capacity_Ah,temperature_holdout_fold,1,0.8,0.6859838274932615,0.06741627056989714,0.02135510573830752,0.3415911064645642,742,19,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,temperature_holdout_fold,1,0.9,0.9016172506738545,0.13134124204007858,0.13134124204007858,0.3835903676550686,742,19,19
Q2_stressor_family_conformal,delta_capacity_Ah,temperature_holdout_fold,1,0.9,0.931266846361186,0.22070041842251087,0.22070041842251087,0.40031545870468704,742,19,57
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,temperature_holdout_fold,1,0.9,0.931266846361186,0.22070041842251087,0.22070041842251087,0.40031545870468704,742,19,57
Q0_hgb_quantile_raw,delta_capacity_Ah,temperature_holdout_fold,2,0.8,0.880188679245283,0.08499787988911142,0.05148985479193921,0.24859115235609744,1060,19,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,temperature_holdout_fold,2,0.9,0.9,0.13028871550772553,0.13028871550772553,0.35941993018370905,1060,19,19
Q2_stressor_family_conformal,delta_capacity_Ah,temperature_holdout_fold,2,0.9,0.9547169811320755,0.24846221668681628,0.24846221668681628,0.39726317119795007,1060,19,57
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,temperature_holdout_fold,2,0.9,0.9547169811320755,0.24846221668681628,0.24846221668681628,0.39726317119795007,1060,19,57
Q0_hgb_quantile_raw,delta_capacity_Ah,c_rate_holdout_fold,1,0.8,0.6305732484076433,0.22550652433585283,0.1803304533212988,0.982499566309024,157,12,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,c_rate_holdout_fold,1,0.9,,,,,0,0,0
Q2_stressor_family_conformal,delta_capacity_Ah,c_rate_holdout_fold,1,0.9,0.7261146496815286,0.21993106505577897,0.219931065055779,0.7680145619301059,157,12,64
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,c_rate_holdout_fold,1,0.9,0.7261146496815286,0.21993106505577897,0.219931065055779,0.7680145619301059,157,12,64
Q0_hgb_quantile_raw,delta_capacity_Ah,profile_holdout_fold,1,0.8,0.5159574468085106,0.15398640967431435,0.13890862536317655,0.34209060802414804,752,12,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,profile_holdout_fold,1,0.9,,,,,0,0,0
Q2_stressor_family_conformal,delta_capacity_Ah,profile_holdout_fold,1,0.9,0.6595744680851063,0.2101674960562673,0.21016749605626728,0.8572681069071091,752,12,64
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,profile_holdout_fold,1,0.9,0.6595744680851063,0.2101674960562673,0.21016749605626728,0.8572681069071091,752,12,64
Q0_hgb_quantile_raw,delta_capacity_Ah,voltage_window_holdout_fold,1,0.8,0.5070796460176992,0.1341834617360821,0.07579989030754596,0.42567785847497797,1130,28,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,voltage_window_holdout_fold,1,0.9,0.8716814159292036,0.26187208326598144,0.26187208326598144,0.44493769093829383,1130,28,48
Q2_stressor_family_conformal,delta_capacity_Ah,voltage_window_holdout_fold,1,0.9,0.7646017699115044,0.2010211792019794,0.2010211792019794,0.4903326822524139,1130,28,48
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,voltage_window_holdout_fold,1,0.9,0.7646017699115044,0.2010211792019794,0.2010211792019794,0.4903326822524139,1130,28,48
Q0_hgb_quantile_raw,delta_capacity_Ah,voltage_window_holdout_fold,2,0.8,0.700218818380744,0.1426439371287186,0.09820831095837612,0.34296032823653944,1371,32,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,voltage_window_holdout_fold,2,0.9,0.687089715536105,0.20871590335925472,0.20871590335925472,0.616974488266058,1371,32,44
Q2_stressor_family_conformal,delta_capacity_Ah,voltage_window_holdout_fold,2,0.9,0.6805251641137856,0.20689409287457275,0.20689409287457272,0.6209151344289106,1371,32,44
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,voltage_window_holdout_fold,2,0.9,0.6805251641137856,0.20689409287457275,0.20689409287457272,0.6209151344289106,1371,32,44
Q0_hgb_quantile_raw,delta_capacity_Ah,voltage_window_holdout_fold,3,0.8,0.15987933634992457,0.06814519009701805,0.06968579698099875,0.21450262052917526,1326,16,0
Q1_split_conformal_abs_residual,delta_capacity_Ah,voltage_window_holdout_fold,3,0.9,1.0,0.31553502473843253,0.31553502473843253,0.31553502473843253,1326,16,60
Q2_stressor_family_conformal,delta_capacity_Ah,voltage_window_holdout_fold,3,0.9,1.0,0.2968231717195871,0.2968231717195871,0.2968231717195871,1326,16,60
Q3_replicate_tolerance_hybrid,delta_capacity_Ah,voltage_window_holdout_fold,3,0.9,1.0,0.2968231717195871,0.2968231717195871,0.2968231717195871,1326,16,60
