candidate_condition_mae,candidate_feature_group,candidate_model_level,condition_mae_gain,feature_group,heldout_fold,model_setting_id,parameter_set,reference_condition_mae,reference_feature_group,reference_model_level,run_scope,split_name,target
0.1372190838728088,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,0.012180527897696691,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,60,0.14939961177050548,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.048200001965520926,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,-0.004961476568362877,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,64,0.04323852539715805,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.048200001965520926,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,-0.012494855458152536,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,64,0.03570514650736839,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.23812740782713857,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.06170213721283635,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,20,0.17642527061430222,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.23812740782713857,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.046263340675594566,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,20,0.191864067151544,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1883176220091608,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.033964995622222216,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,24,0.15435262638693859,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1883176220091608,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.020985778217588513,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,24,0.1673318437915723,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.09318493547326437,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.012137199780703156,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,28,0.08104773569256121,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.09318493547326437,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.016663181894028406,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,28,0.07652175357923596,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.26114113186819454,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.013776496561195506,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,32,0.24736463530699904,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.26114113186819454,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.030808821549855786,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,32,0.23033231031833876,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.2516941517947679,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.02474044816331722,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,36,0.2764345999580851,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.2516941517947679,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.002297334331152312,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,36,0.2539914861259202,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.04750714974456879,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.0016811933839013665,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,40,0.049188343128470154,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.04750714974456879,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.002742373637965652,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,40,0.05024952338253444,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.11506987717356669,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.006542469164309894,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,44,0.1085274080092568,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.11506987717356669,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.009996398261034031,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,44,0.12506627543460072,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0496579476791136,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.012715935404526625,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,48,0.036942012274586974,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0496579476791136,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.007789073179591231,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,48,0.04186887449952237,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0543291569468178,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.0040786782455618925,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,52,0.05025047870125591,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0543291569468178,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.0018654701093289705,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,52,0.05619462705614677,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0940727183329384,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.03698309149167983,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,56,0.13105580982461823,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.0940727183329384,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,-0.003292899893888687,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,56,0.09077981843904971,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1376039140112068,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.009805055107808297,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,60,0.1474089691190151,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1376039140112068,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.011795697759298673,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,60,0.14939961177050548,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.03477410794068076,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.008464417456477288,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,64,0.04323852539715805,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.03477410794068076,F8_timestamp_weighted_stress,R5_train_only_stressor_selected_hgb,0.0009310385666876295,F8_timestamp_weighted_stress,1,R5_train_only_stressor_selected_hgb,64,0.03570514650736839,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,capacity_Ah_k1
0.1734797634360663,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,0.020025807423869696,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,20,0.193505570859936,F4_state_log_age_scalar,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
0.1734797634360663,F4_state_log_age_scalar,R5_train_only_stressor_selected_hgb,-0.03312687719715782,F4_state_log_age_scalar,1,R5_train_only_stressor_selected_hgb,20,0.1403528862389085,F8_timestamp_weighted_stress,R0_reference_hgb50,primary,c_rate_holdout_fold,delta_capacity_Ah
