model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.1094554429969143,0.11650301099775896,-0.007047568000844662,0.14267590930052018,0.1434777369074636,-0.0008018276069434171
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.03355954996969839,0.03493612774544378,-0.0013765777757453884,0.04969181424059862,0.05710461746455009,-0.007412803223951471
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,1,0.024981931440438473,0.02397470042759597,0.0010072310128425022,0.04189765749060778,0.0414668093581563,0.00043084813245148484
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,2,0.024011001569686403,0.0265633497800249,-0.002552348210338496,0.045154925852514356,0.053542770390738285,-0.00838784453822393
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,3,0.045311324794393516,0.049757997589000805,-0.004446672794607288,0.08825950786515806,0.08903950482206804,-0.0007799969569099868
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,4,0.03192778229687755,0.03397845098423993,-0.002050668687362381,0.06941645174108779,0.07107753368984795,-0.0016610819487601625
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,temperature_holdout_fold,1,0.03418412282796625,0.039890092371453474,-0.005705969543487226,0.08002585543391752,0.08579804011849541,-0.005772184684577894
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,temperature_holdout_fold,2,0.03736814423260596,0.03830828837453434,-0.0009401441419283757,0.06338756997093535,0.06846394262644592,-0.005076372655510572
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,1,0.09516982417654202,0.0870978084714693,0.00807201570507271,0.13652489413454713,0.12471773124041664,0.011807162894130488
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,2,0.06435680395359714,0.07252380403265588,-0.00816700007905874,0.1042159584421344,0.11609527126120375,-0.011879312819069357
L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06601872482399047,0.03255397871552984,0.03346474610846063,0.06565012712822421,0.032645832036682816,0.033004295091541395
