target,split_name,best_stress_model_level,best_stress_feature_group,best_stress_condition_mean_mae,best_stress_worst_condition_mae,baseline_f4_model_level,baseline_f4_condition_mean_mae,condition_mean_mae_gain_vs_f4,l0_condition_mean_mae,condition_mean_mae_gain_vs_l0,success_vs_f4,material_degradation_vs_f4
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F6_coupled_stress,0.12465633712103064,0.2508189191042574,L2_hist_gradient_boosting,0.12518636786777063,0.0005300307467399901,0.33485399645173297,0.21019765933070234,True,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F5_log_age_histograms,0.05027747397751009,0.26147997390058836,L2_hist_gradient_boosting,0.05392666527617392,0.003649191298663833,0.13801071921543,0.08773324523791992,True,False
capacity_Ah_k1,temperature_holdout_fold,L2_hist_gradient_boosting,F6_coupled_stress,0.06364404065213011,0.27405616574517866,L2_hist_gradient_boosting,0.06929389733378725,0.005649856681657142,0.15025633253369464,0.08661229188156452,True,False
capacity_Ah_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,F7_c_rate_focused,0.11632530459883877,0.4067931402970832,L2_hist_gradient_boosting,0.08441287861354206,-0.031912425985296713,0.1187266501812217,0.002401345582382919,False,False
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F5_log_age_histograms,0.11026027189984226,0.20770739619849174,L2_hist_gradient_boosting,0.10113277130259181,-0.009127500597250454,0.33485399645173297,0.2245937245518907,False,False
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,F5_log_age_histograms,0.041692705430998366,0.15390076944722242,L2_hist_gradient_boosting,0.044644919626207015,0.0029522141952086495,0.13801071921543,0.09631801378443164,True,False
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,F5_log_age_histograms,0.044618927158657395,0.14852292082532634,L2_hist_gradient_boosting,0.04857476766234761,0.003955840503690217,0.15025633253369464,0.10563740537503724,True,False
delta_capacity_Ah,voltage_window_holdout_fold,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,0.08918510213249198,0.3293503440013864,L2_hist_gradient_boosting,0.07084470672683431,-0.01834039540565767,0.1187266501812217,0.029541548048729716,False,False
