run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.044618927158657395,0.046710231312839454,-0.002091304154182058,0.14852292082532634,0.13776837535575123,0.010754545469575105
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.046710231312839454,0.05856151664069181,-0.01185128532785236,0.13776837535575123,0.22237966626533523,-0.084611290909584
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.077701587979939,0.07084470672683431,0.006856881253104685,0.33021104857042977,0.2315662886975436,0.09864475987288618
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.07084470672683431,0.14161469103093785,-0.07076998430410354,0.2315662886975436,0.2546420732679677,-0.023075784570424085
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.14161469103093785,0.12883366120331988,0.012781029827617973,0.2546420732679677,0.22907833184038753,0.02556374142758014
primary,L2_hist_gradient_boosting,delta_capacity_Ah,voltage_window_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.12883366120331988,0.10733136661340836,0.021502294589911514,0.22907833184038753,0.33635005008433155,-0.10727171824394402
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.1862798783720999,0.19559729831178693,-0.009317419939687044,0.3638987271461566,0.4024433007561317,-0.0385445736099751
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.19559729831178693,0.17508271344779905,0.020514584863987884,0.4024433007561317,0.3421663133702017,0.060276987385930014
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.17508271344779905,0.17325009821676884,0.0018326152310302046,0.3421663133702017,0.3507772369658415,-0.008610923595639808
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.17325009821676884,0.18286885173267162,-0.009618753515902773,0.3507772369658415,0.32117626629967466,0.029600970666166848
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.06521531948954487,0.06713249775867468,-0.0019171782691298073,0.31472324573535865,0.37599741355529953,-0.06127416781994088
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.06713249775867468,0.057211387843736604,0.009921109914938074,0.37599741355529953,0.2878619884223517,0.08813542513294781
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F5_log_age_histograms,F6_coupled_stress,0.057211387843736604,0.056593532260745295,0.0006178555829913085,0.2878619884223517,0.26554419103416776,0.022317797388183958
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F6_coupled_stress,F7_c_rate_focused,0.056593532260745295,0.06310187283321393,-0.006508340572468636,0.26554419103416776,0.2927748893952267,-0.027230698361058958
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.0808654193025004,0.08479246659914189,-0.003927047296641492,0.3476705690982702,0.352940910904298,-0.005270341806027812
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.08479246659914189,0.0764890787673336,0.008303387831808284,0.352940910904298,0.24366677589716937,0.10927413500712865
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.0764890787673336,0.07862483724290481,-0.002135758475571209,0.24366677589716937,0.28054796344989436,-0.03688118755272499
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.07862483724290481,0.07656001175906046,0.002064825483844346,0.28054796344989436,0.3314314909542589,-0.050883527504364534
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.09826551544736907,0.11269952561628233,-0.014434010168913256,0.4237925806413337,0.4191854168842489,0.004607163757084809
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.11269952561628233,0.1734979497519765,-0.06079842413569417,0.4191854168842489,0.34824835173600904,0.07093706514823983
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.1734979497519765,0.16922932547270678,0.004268624279269717,0.34824835173600904,0.3769305433689505,-0.028682191632941445
primary,L3_quantile_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.16922932547270678,0.13444308870088165,0.03478623677182513,0.3769305433689505,0.3775009324165808,-0.0005703890476302931
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.18010949262595513,0.1823307773049594,-0.0022212846790042595,0.4132909549027513,0.3748515528992455,0.03843940200350582
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.1823307773049594,0.15312156148949427,0.029209215815465123,0.3748515528992455,0.31991095483369464,0.05494059806555085
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F5_log_age_histograms,F6_coupled_stress,0.15312156148949427,0.1712514411010675,-0.018129879611573224,0.31991095483369464,0.34662722580141664,-0.026716270967722
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F6_coupled_stress,F7_c_rate_focused,0.1712514411010675,0.19119104293284753,-0.019939601831780035,0.34662722580141664,0.3857936854779853,-0.03916645967656868
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.060922668089754176,0.05577533212329459,0.005147335966459589,0.3140090622284753,0.31766219481212193,-0.0036531325836466344
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F4_state_log_age_scalar,F5_log_age_histograms,0.05577533212329459,0.05054713799907155,0.00522819412422304,0.31766219481212193,0.29734338949448186,0.020318805317640076
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F5_log_age_histograms,F6_coupled_stress,0.05054713799907155,0.04802235287511744,0.0025247851239541055,0.29734338949448186,0.2570282862122654,0.040315103282216436
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F6_coupled_stress,F7_c_rate_focused,0.04802235287511744,0.060830935691758715,-0.012808582816641274,0.2570282862122654,0.3122348443427492,-0.05520655813048375
primary,L3_quantile_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.07839618871570483,0.06911307266029151,0.00928311605541332,0.3424389921266499,0.2549572231665879,0.08748176896006199
