feature_group,mean_auprc,mean_auroc,mean_brier,mean_ece_10_bin,mean_ece_10_bin_equal_freq,model_level,n_rows,target
prior_rate,0.1266815847299785,0.5,0.0757576959675383,0.03210848168809843,0.04631199926423219,B0_event_rate_prior,12,event_within_1_checkup
distance_to_threshold,0.14480158662283985,0.5959908734240401,0.36956581841864167,0.46550747404859405,0.46601898593011454,B1_distance_to_threshold_rule,12,event_within_1_checkup
distance_to_threshold,0.2286015146658219,0.7159403228904159,0.32647654518676855,0.39187884718918853,0.3931537209368201,B2_linear_extrapolation_to_threshold,12,event_within_1_checkup
distance_to_threshold,0.21224524522611884,0.6552135139850984,0.07173507209475062,0.03645300603638637,0.05403910956914124,B3_logistic_distance_baseline,12,event_within_1_checkup
W0_capacity_state,0.08976680773273198,0.5430552313544554,0.0760172277741461,0.0343829968089632,0.08702179394043658,B4_logistic_regression,12,event_within_1_checkup
W1_state_time,0.15153568368295198,0.6190998775668052,0.07440662827016398,0.035043157713867144,0.056902642193806946,B4_logistic_regression,12,event_within_1_checkup
W2_nominal,0.2687378950911673,0.6998996606535747,0.07925074005035689,0.06872954770018896,0.07862513656952116,B4_logistic_regression,12,event_within_1_checkup
W0_capacity_state,0.09076329876362782,0.5556246063688314,0.07593610776462495,0.03375792047651332,0.09271249692766621,B5_ridge_logistic,12,event_within_1_checkup
W1_state_time,0.14844635758118782,0.619550741808853,0.07494349722653086,0.037748899150701586,0.06259405538634384,B5_ridge_logistic,12,event_within_1_checkup
W2_nominal,0.2167960064780726,0.6737314294136016,0.07017305511156094,0.03568992318678264,0.05122368451930761,B5_ridge_logistic,12,event_within_1_checkup
W0_capacity_state,0.6289142228021012,0.8853604310835238,0.05585912216069073,0.05367739800364745,0.050257770739304236,B6_hist_gradient_boosting_classifier,12,event_within_1_checkup
W1_state_time,0.8049255074315563,0.9579690160335422,0.04257682200124632,0.041122396306737856,0.0359612868869297,B6_hist_gradient_boosting_classifier,12,event_within_1_checkup
W2_nominal,0.841839300589713,0.970898506716178,0.03652539428240694,0.037058244562394774,0.02995525334183864,B6_hist_gradient_boosting_classifier,12,event_within_1_checkup
prior_rate,0.24933555009970187,0.5,0.13918954063950095,0.06421696337619685,0.09303023228174317,B0_event_rate_prior,12,event_within_2_checkups
distance_to_threshold,0.21708849882390457,0.5274093161833603,0.42559034070993,0.5116200036163777,0.5130091486244698,B1_distance_to_threshold_rule,12,event_within_2_checkups
distance_to_threshold,0.26923974513944715,0.5755250487776095,0.432303657013831,0.5007499789224129,0.5037663963603675,B2_linear_extrapolation_to_threshold,12,event_within_2_checkups
distance_to_threshold,0.28723277524714813,0.5756400924133512,0.1322920640687338,0.07100034188625762,0.1046982773611307,B3_logistic_distance_baseline,12,event_within_2_checkups
W0_capacity_state,0.15900204622505737,0.4704348701277334,0.14052641359770293,0.06888900972324087,0.14949305206711905,B4_logistic_regression,12,event_within_2_checkups
W1_state_time,0.23157101935585356,0.5503281248975599,0.1382594207023888,0.08094113211241226,0.10588005767804881,B4_logistic_regression,12,event_within_2_checkups
W2_nominal,0.37322672378412397,0.6809617319851117,0.12478821942065127,0.08325117091475175,0.10260982544836413,B4_logistic_regression,12,event_within_2_checkups
W0_capacity_state,0.15904587457551006,0.4685410165897968,0.14010413561075868,0.06506477707434653,0.16501939328562767,B5_ridge_logistic,12,event_within_2_checkups
W1_state_time,0.2386045752131297,0.5627968109334368,0.13742131256835385,0.08379161812899434,0.10826168687572145,B5_ridge_logistic,12,event_within_2_checkups
W2_nominal,0.37210010550768985,0.6768574058738879,0.11758344965346997,0.06734893246987252,0.08667993257697866,B5_ridge_logistic,12,event_within_2_checkups
W0_capacity_state,0.6765143707668689,0.8599417309419368,0.1040880490943009,0.09374517703508588,0.08785459529700017,B6_hist_gradient_boosting_classifier,12,event_within_2_checkups
W1_state_time,0.7632226660452611,0.9278751409276874,0.07764318733520688,0.06825772642962272,0.06438371364279254,B6_hist_gradient_boosting_classifier,12,event_within_2_checkups
W2_nominal,0.8264713726156602,0.9477807359288883,0.06792833097831306,0.06211156616119656,0.05705062248259856,B6_hist_gradient_boosting_classifier,12,event_within_2_checkups
prior_rate,0.30427934625404524,0.5,0.17865530818336808,0.07758490586542552,0.1169464927690269,B0_event_rate_prior,12,event_within_3_checkups
distance_to_threshold,0.2818022439224393,0.5158574042271483,0.42077380467153797,0.4839513899454769,0.48439405028932003,B1_distance_to_threshold_rule,12,event_within_3_checkups
distance_to_threshold,0.31709452780031167,0.5439424819371317,0.4400481795787718,0.49490346031981364,0.4929255947884172,B2_linear_extrapolation_to_threshold,12,event_within_3_checkups
distance_to_threshold,0.36138665515370844,0.5791446163076365,0.16849209814217478,0.08874968583547284,0.13257927668807062,B3_logistic_distance_baseline,12,event_within_3_checkups
W0_capacity_state,0.23686781740670093,0.5185719228393152,0.18008143607233515,0.09920361323048975,0.1876480755451121,B4_logistic_regression,12,event_within_3_checkups
W1_state_time,0.2709259605456434,0.5492458219124162,0.1775897879332852,0.10093428173839092,0.12623363087576225,B4_logistic_regression,12,event_within_3_checkups
W2_nominal,0.44041615523994687,0.6686553681196691,0.15798706821411376,0.105837379299407,0.12406014078545369,B4_logistic_regression,12,event_within_3_checkups
W0_capacity_state,0.24460221928774442,0.5365773940776678,0.17928306731616486,0.10599563414245634,0.20663723688114102,B5_ridge_logistic,12,event_within_3_checkups
W1_state_time,0.294445554456939,0.5645272523786601,0.17578240753708266,0.10476488019984682,0.13617512310475424,B5_ridge_logistic,12,event_within_3_checkups
W2_nominal,0.4446457964006148,0.6672886074345956,0.15151656647862602,0.0904299720419663,0.1205695992412698,B5_ridge_logistic,12,event_within_3_checkups
W0_capacity_state,0.7345877111434082,0.8711700591249172,0.1281495506599779,0.1060622598533305,0.10534570276874215,B6_hist_gradient_boosting_classifier,12,event_within_3_checkups
W1_state_time,0.8159448406523371,0.9268982658775419,0.08739987552283517,0.07937937300274044,0.07135226270409925,B6_hist_gradient_boosting_classifier,12,event_within_3_checkups
W2_nominal,0.8302233126348594,0.9435486718099272,0.09011601732726354,0.08699463476496888,0.08485133101675563,B6_hist_gradient_boosting_classifier,12,event_within_3_checkups
