auprc,auroc,base_train_one_class,brier,calibration_intercept,calibration_method,calibration_negative_count,calibration_positive_count,calibration_slope,calibration_status,condition_mean_brier,ece_10_bin,fallback_reason,feature_group,heldout_fold,label_policy,log_loss,model_level,n_calibration,n_calibration_conditions,n_fit_conditions,n_test,n_train,split_name,target,test_negative_count,test_one_class,test_positive_count,train_one_class,train_positive_count,worst_condition_brier
0.8890045934044944,0.9911530697066857,False,0.014835827401007516,0.5115828933243183,C0_raw_hgb_w2,534,38,0.0658345726291263,raw,0.020992834760666986,0.008613095029558183,,W2_nominal,0,all_rows,0.052327131103983154,B6_hist_gradient_boosting_classifier,572,15,45,844,2411,condition_fold,event_within_1_checkup,802,False,42,False,93,0.10852835711431824
0.8890045934044944,0.9911530697066857,False,0.017242827134414593,0.6011459863370449,C1_platt_logistic,534,38,0.1155753574448821,calibrated,0.024974948679448102,0.01304247431399606,,W2_nominal,0,all_rows,0.06137688423784474,B6_hist_gradient_boosting_classifier,572,15,45,844,2411,condition_fold,event_within_1_checkup,802,False,42,False,93,0.10830498431278358
0.8752748448161469,0.988837430233939,False,0.01902519087019021,0.32731280990855227,C2_isotonic,534,38,0.024445246873762684,calibrated,0.02542633103148029,0.010957535080203341,,W2_nominal,0,all_rows,0.06233249653844222,B6_hist_gradient_boosting_classifier,572,15,45,844,2411,condition_fold,event_within_1_checkup,802,False,42,False,93,0.1041566030031559
0.8661552901877707,0.9800672430355427,False,0.020667739445308614,0.46756350266972607,C0_raw_hgb_w2,389,34,0.0675812454668839,raw,0.02641636133015761,0.01577476579581415,,W2_nominal,0,verified_only,0.07353104399108189,B6_hist_gradient_boosting_classifier,423,12,33,736,1274,condition_fold,event_within_1_checkup,694,False,42,False,97,0.10074430675234176
0.8661552901877707,0.9800672430355427,False,0.02046194587720213,0.42293275169666106,C1_platt_logistic,389,34,0.0945301757540367,calibrated,0.024204922103610107,0.025181586877087124,,W2_nominal,0,verified_only,0.07734269163809923,B6_hist_gradient_boosting_classifier,423,12,33,736,1274,condition_fold,event_within_1_checkup,694,False,42,False,97,0.07962197449278816
0.8354744888778874,0.9561033347056401,False,0.02116186056558294,0.2799789394940683,C2_isotonic,389,34,0.021881661082465646,calibrated,0.025636374653070487,0.01220958024201648,,W2_nominal,0,verified_only,0.1000412128522997,B6_hist_gradient_boosting_classifier,423,12,33,736,1274,condition_fold,event_within_1_checkup,694,False,42,False,97,0.09964092687212117
0.8686184109242759,0.9748668546365915,False,0.03544525365993967,0.45208561483878373,C0_raw_hgb_w2,855,66,0.06910755335875443,raw,0.06484135634006846,0.029914392608614948,,W2_nominal,0,all_rows,0.11819214227679688,B6_hist_gradient_boosting_classifier,921,15,45,844,2062,condition_fold,event_within_2_checkups,760,False,84,False,196,0.2781623160299912
0.8686184109242759,0.9748668546365915,False,0.032717269824228144,0.4942942165573415,C1_platt_logistic,855,66,0.08330807173353995,calibrated,0.05933953264452674,0.021438919847086808,,W2_nominal,0,all_rows,0.11395098665250268,B6_hist_gradient_boosting_classifier,921,15,45,844,2062,condition_fold,event_within_2_checkups,760,False,84,False,196,0.22229782252195393
0.8522274205001785,0.9606986215538847,False,0.035806300344406135,0.4089919396580931,C2_isotonic,855,66,0.030585858695018498,calibrated,0.06399161981509846,0.028345416960756514,,W2_nominal,0,all_rows,0.14614915181766608,B6_hist_gradient_boosting_classifier,921,15,45,844,2062,condition_fold,event_within_2_checkups,760,False,84,False,196,0.2074852071005917
0.8915371166272683,0.9772768770084721,False,0.03138101600473262,0.4918813092541763,C0_raw_hgb_w2,449,72,0.07937768759488333,raw,0.045724159983478375,0.02041194411353142,,W2_nominal,0,verified_only,0.119132713594482,B6_hist_gradient_boosting_classifier,521,12,33,736,1176,condition_fold,event_within_2_checkups,652,False,84,False,190,0.16909788614506194
0.8915371166272683,0.9772768770084721,False,0.03153558345416135,0.5612805994251902,C1_platt_logistic,449,72,0.11058275489581314,calibrated,0.05251016736185876,0.012488247303136196,,W2_nominal,0,verified_only,0.11585706430252138,B6_hist_gradient_boosting_classifier,521,12,33,736,1176,condition_fold,event_within_2_checkups,652,False,84,False,190,0.1710162156484566
0.8831401024925616,0.9606430762489044,False,0.033305350014891585,0.4373780462871559,C2_isotonic,449,72,0.032018917199722705,calibrated,0.057157800630973976,0.01681605445482564,,W2_nominal,0,verified_only,0.1758560449217688,B6_hist_gradient_boosting_classifier,521,12,33,736,1176,condition_fold,event_within_2_checkups,652,False,84,False,190,0.16572553200119441
0.8889131604667989,0.9720945757997218,False,0.04668142543859129,0.5363652775056069,C0_raw_hgb_w2,655,96,0.07856264681558908,raw,0.09370288153215608,0.035835820997905776,,W2_nominal,0,all_rows,0.16399843854649782,B6_hist_gradient_boosting_classifier,751,15,45,844,2232,condition_fold,event_within_3_checkups,719,False,125,False,273,0.370425441064784
0.8889131604667989,0.9720945757997218,False,0.04534757331982348,0.5748135227520499,C1_platt_logistic,655,96,0.10504033691479321,calibrated,0.08907605510855779,0.031591638698168646,,W2_nominal,0,all_rows,0.1552677690636118,B6_hist_gradient_boosting_classifier,751,15,45,844,2232,condition_fold,event_within_3_checkups,719,False,125,False,273,0.2953273963504956
0.8809926870185211,0.9633546592489569,False,0.044020251530743966,0.45424655905644584,C2_isotonic,655,96,0.03355319128776069,calibrated,0.08683320003523871,0.02641148609313865,,W2_nominal,0,all_rows,0.18693217965628692,B6_hist_gradient_boosting_classifier,751,15,45,844,2232,condition_fold,event_within_3_checkups,719,False,125,False,273,0.25944444444469444
0.8868475684193708,0.9665335515548281,False,0.05540206581426781,0.5451667125214102,C0_raw_hgb_w2,206,99,0.08503288169221865,raw,0.07805514536821319,0.05243014568429666,,W2_nominal,0,verified_only,0.1974849766348134,B6_hist_gradient_boosting_classifier,305,12,33,736,1392,condition_fold,event_within_3_checkups,611,False,125,False,270,0.2690799148184118
0.8868475684193708,0.9665335515548281,False,0.053712252794502736,0.4563898240491266,C1_platt_logistic,206,99,0.10878660615303831,calibrated,0.06914643553529515,0.032783179480753016,,W2_nominal,0,verified_only,0.17862277673204427,B6_hist_gradient_boosting_classifier,305,12,33,736,1392,condition_fold,event_within_3_checkups,611,False,125,False,270,0.21004012641564107
