bin,bin_left,bin_right,calibration_method,label_policy,mean_probability,observed_rate,positive_count,row_count,split_name,target
4,0.4,0.5,C0_raw_hgb_w2,all_rows,0.43368240576459594,0.14285714285714285,1,7,voltage_window_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,all_rows,0.5447936288915696,0.13333333333333333,2,15,voltage_window_holdout_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,all_rows,0.64913524560532,0.5,8,16,voltage_window_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,all_rows,0.7440730785426916,0.5862068965517241,17,29,voltage_window_holdout_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,all_rows,0.8451532652343604,0.38461538461538464,10,26,voltage_window_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,all_rows,0.9712208520918859,0.8488372093023255,73,86,voltage_window_holdout_fold,event_within_1_checkup
0,0.0,0.1,C1_platt_logistic,all_rows,0.013143376301669795,0.09022556390977443,12,133,c_rate_holdout_fold,event_within_1_checkup
1,0.1,0.2,C1_platt_logistic,all_rows,0.14912608433674016,0.0,0,1,c_rate_holdout_fold,event_within_1_checkup
2,0.2,0.3,C1_platt_logistic,all_rows,0.2987256532508535,1.0,3,3,c_rate_holdout_fold,event_within_1_checkup
3,0.3,0.4,C1_platt_logistic,all_rows,0.3386958185820678,1.0,4,4,c_rate_holdout_fold,event_within_1_checkup
5,0.5,0.6,C1_platt_logistic,all_rows,0.5766634893737133,0.75,3,4,c_rate_holdout_fold,event_within_1_checkup
6,0.6,0.7,C1_platt_logistic,all_rows,0.6384935937087027,0.0,0,1,c_rate_holdout_fold,event_within_1_checkup
7,0.7,0.8,C1_platt_logistic,all_rows,0.7102473939643326,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
8,0.8,0.9,C1_platt_logistic,all_rows,0.8544959717749311,1.0,3,3,c_rate_holdout_fold,event_within_1_checkup
