model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,c_rate_holdout_fold,1,0.12198497198578274,0.1330425388922622,-0.011057566906479452,0.17345305288167778,0.18194485115200978,-0.008491798270332002
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,0,0.038740402967491004,0.04084204203120326,-0.002101639063712253,0.06104166099552472,0.06505171330088443,-0.004010052305359703
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,1,0.027664469945449105,0.02839458455226319,-0.0007301146068140855,0.05314299580215131,0.0523894710540076,0.0007535247481437121
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,2,0.025545395462385715,0.027282358311974387,-0.0017369628495886719,0.05240744968159149,0.0549987767926957,-0.0025913271111042066
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,3,0.05605622438686915,0.059455382052846985,-0.0033991576659778353,0.09773344966716453,0.09860707645336562,-0.0008736267862010927
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,condition_fold,4,0.027321453963958162,0.029844700201320344,-0.002523246237362182,0.06453070076343015,0.06484513901635175,-0.00031443825292160055
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,profile_holdout_fold,1,0.047616829751440756,0.0458260630353778,0.0017907667160629581,0.06184349604554155,0.0637856481577012,-0.0019421521121596522
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,temperature_holdout_fold,1,0.03923717073711035,0.044770380561198836,-0.005533209824088489,0.09235315384953793,0.09581914418712643,-0.003465990337588501
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,temperature_holdout_fold,2,0.03868163780727295,0.041093301917047166,-0.0024116641097742184,0.0646771689342813,0.0707267233134987,-0.006049554379217406
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,voltage_window_holdout_fold,1,0.09878336835497085,0.09811135306663707,0.0006720152883337854,0.14157125702332035,0.13041433386271875,0.0111569231606016
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,voltage_window_holdout_fold,2,0.04324032282904366,0.044013309750856794,-0.000772986921813136,0.08493398197854651,0.08666993613525843,-0.001735954156711919
L2_hist_gradient_boosting,C_P0_state_time_pulse,capacity_Ah_k1,voltage_window_holdout_fold,3,0.07001259421039957,0.0720359290269455,-0.0020233348165459297,0.06970035665957941,0.07261182337368823,-0.002911466714108815
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,c_rate_holdout_fold,1,0.1133997386209044,0.12472547288172073,-0.01132573426081633,0.16144981963991686,0.1662010860783689,-0.004751266438452029
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,0,0.039906763332374924,0.04338854175955078,-0.003481778427175855,0.06442417609982143,0.07127792656150628,-0.006853750461684849
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,1,0.02610932133479805,0.025991680521130333,0.00011764081366771872,0.05233110217097843,0.04720909190884849,0.005122010262129939
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,2,0.021993459951472234,0.02327854633769656,-0.0012850863862243246,0.04965490423426198,0.04877565051456019,0.0008792537197017877
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,3,0.05225680893308201,0.054898533963203745,-0.002641725030121736,0.09458848008587037,0.0930147025935908,0.0015737774922795628
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,condition_fold,4,0.02469908639113291,0.027428245270145108,-0.0027291588790121987,0.062106126707225026,0.06193526396397615,0.00017086274324887296
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,profile_holdout_fold,1,0.05008601125468214,0.04921202402447099,0.0008739872302111554,0.06547352220636114,0.06820520218075558,-0.002731679974394441
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,temperature_holdout_fold,1,0.03746504108473872,0.04151098476681276,-0.004045943682074039,0.09263567362423313,0.0876465530661628,0.004989120558070326
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,temperature_holdout_fold,2,0.03759504227938369,0.03880112430270331,-0.0012060820233196212,0.061844975562876624,0.06770910366171419,-0.005864128098837566
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,voltage_window_holdout_fold,1,0.10070883814088345,0.09559192627635608,0.005116911864527368,0.13616531301765447,0.1251951448925351,0.010970168125119362
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,voltage_window_holdout_fold,2,0.04011016261692823,0.04054483206684564,-0.00043466944991741446,0.08296902534041675,0.08358116471648377,-0.0006121393760670224
L2_hist_gradient_boosting,C_P0_state_time_pulse,delta_capacity_Ah,voltage_window_holdout_fold,3,0.018740815645319986,0.016950341624028392,0.0017904740212915937,0.018746260611732308,0.017013819432752247,0.0017324411789800612
L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,c_rate_holdout_fold,1,0.1121911769698424,0.1241747233568953,-0.011983546387052901,0.14644875054454037,0.15262087415733977,-0.006172123612799396
L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,0,0.03416984868136145,0.03603181320750377,-0.0018619645261423179,0.04951288788166244,0.05694909782059609,-0.007436209938933645
L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,1,0.024182610292069976,0.02433757567142263,-0.00015496537935265342,0.042438258002927144,0.04166339445270485,0.000774863550222292
L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,2,0.024306324898185086,0.0261519032628877,-0.0018455783647026124,0.04526518826915298,0.05080873505175042,-0.005543546782597435
L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,3,0.047128826989782824,0.05208226282392026,-0.004953435834137439,0.09060382599025184,0.09139608744867024,-0.0007922614584184029
L2_hist_gradient_boosting,C_P1_nominal_pulse,capacity_Ah_k1,condition_fold,4,0.032944175019816314,0.03477172622215409,-0.0018275512023377752,0.07195407570449636,0.07450411278064527,-0.0025500370761489116
