run_scope,target,split_name,heldout_fold,model_level,feature_group,train_rows,test_rows,test_parameter_sets
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P_E2_log_age_eis,3604,142,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P_E3_stress_eis,3604,142,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P3_state_nominal,3014,732,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,3014,732,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P_E0_prior_eis,3014,732,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P_E1_nominal_eis,3014,732,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P_E2_log_age_eis,3014,732,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P_E3_stress_eis,3014,732,12
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P3_state_nominal,2655,1091,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,2655,1091,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P_E0_prior_eis,2655,1091,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P_E1_nominal_eis,2655,1091,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P_E2_log_age_eis,2655,1091,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P_E3_stress_eis,2655,1091,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P3_state_nominal,2416,1330,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P5_stress_v1_1,2416,1330,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P_E0_prior_eis,2416,1330,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P_E1_nominal_eis,2416,1330,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P_E2_log_age_eis,2416,1330,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P_E3_stress_eis,2416,1330,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P3_state_nominal,2421,1325,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P5_stress_v1_1,2421,1325,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P_E0_prior_eis,2421,1325,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P_E1_nominal_eis,2421,1325,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P_E2_log_age_eis,2421,1325,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P_E3_stress_eis,2421,1325,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P3_state_nominal,2104,609,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P5_stress_v1_1,2104,609,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E0_prior_eis,2104,609,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E1_nominal_eis,2104,609,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E2_log_age_eis,2104,609,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L2_hist_gradient_boosting,P_E3_stress_eis,2104,609,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P3_state_nominal,2083,630,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,2083,630,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E0_prior_eis,2083,630,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E1_nominal_eis,2083,630,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E2_log_age_eis,2083,630,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,1,L2_hist_gradient_boosting,P_E3_stress_eis,2083,630,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P3_state_nominal,2086,627,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P5_stress_v1_1,2086,627,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E0_prior_eis,2086,627,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E1_nominal_eis,2086,627,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E2_log_age_eis,2086,627,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,2,L2_hist_gradient_boosting,P_E3_stress_eis,2086,627,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P3_state_nominal,2350,363,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P5_stress_v1_1,2350,363,15
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,3,L2_hist_gradient_boosting,P_E0_prior_eis,2350,363,15
