split_name,1s_target,1s_condition_mean_mae,1s_best_model_level,1s_best_feature_group,10ms_target,10ms_condition_mean_mae,10ms_best_model_level,10ms_best_feature_group
c_rate_holdout_fold,delta_pulse_1s_resistance,0.0019370888386816712,L2_hist_gradient_boosting,P3_state_nominal,missing,missing,missing,missing
condition_fold,delta_pulse_1s_resistance,0.000951577487212752,L2_hist_gradient_boosting,P_E3_stress_eis,missing,missing,missing,missing
profile_holdout_fold,delta_pulse_1s_resistance,0.0009221341523680654,L2_hist_gradient_boosting,P_E1_nominal_eis,missing,missing,missing,missing
temperature_holdout_fold,delta_pulse_1s_resistance,0.0010731973495550092,L2_hist_gradient_boosting,P_E3_stress_eis,missing,missing,missing,missing
voltage_window_holdout_fold,delta_pulse_1s_resistance,0.0012100759071730122,L2_hist_gradient_boosting,P_E1_nominal_eis,missing,missing,missing,missing
