run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,test_rows,test_parameter_sets
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,c_rate_holdout_fold,1,0.17537233844466887,0.2708621207282055,0.258246564298063,0.22663225591556826,0.49304869721729044,157,12
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,condition_fold,5,0.05562946238583942,0.09981632674230584,0.10452466658829965,0.07238059431257539,0.48557099181695645,3827,76
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,profile_holdout_fold,1,0.06178776872236485,0.09586205138351868,0.07807469283185006,0.0687035751588422,0.21395857399947846,752,12
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,temperature_holdout_fold,2,0.05796856803232135,0.11346830534387747,0.1116763060734042,0.07296681683679586,0.41337325656232543,1802,38
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,voltage_window_holdout_fold,3,0.07096684738266372,0.1049142066340666,0.1056911526925119,0.07769179776161923,0.4696592629395904,3827,76
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.17277500320674477,0.21903569064609263,0.1755605083624059,0.16117061700912244,0.3186053676316352,157,12
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,condition_fold,5,0.049192422553461464,0.08983680442108184,0.08363521753185135,0.06570692886215326,0.3461746117144558,3827,76
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,profile_holdout_fold,1,0.05588461575887978,0.10384611042476612,0.08776288452369783,0.05879051416325211,0.3073883962462554,752,12
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,temperature_holdout_fold,2,0.051860683313753625,0.1068260922991666,0.09140239920049888,0.062315664259273804,0.34293869858235054,1802,38
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,3,0.057820232676554395,0.09104579598754815,0.08703527052670551,0.07129176704258998,0.3529486851582715,3827,76
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,c_rate_holdout_fold,1,0.173706343904344,0.22179827141178896,0.17540615023079845,0.1536394673583374,0.31605114558860226,157,12
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,condition_fold,5,0.04893996085991742,0.08929740573915648,0.08313835552011824,0.06528786072361072,0.3431135834838088,3827,76
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,profile_holdout_fold,1,0.0553385934667432,0.10324895575673092,0.08698858434044726,0.05804510546126426,0.3031425261142155,752,12
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,temperature_holdout_fold,2,0.05077928082844846,0.10386451190036614,0.08963935948895571,0.06232137151476193,0.3402938410007543,1802,38
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,voltage_window_holdout_fold,3,0.056669691356977976,0.09015206142287728,0.08655442908297693,0.07190390130649485,0.34895331643321925,3827,76
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.3620514646418084,0.39951131141818,0.35404712042739095,0.3733172339834796,0.5130999703805776,157,12
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.04682150578440693,0.08748435298399741,0.08181939760885057,0.06491264493129298,0.3218229398886245,3827,76
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.297479418611086,0.3208058715767671,0.3433158884295722,0.2654138771643654,0.633618684769723,752,12
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.11544977943963244,0.14492418369858523,0.14665187265672144,0.12372145968710484,0.31543169464499904,1802,38
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.11600253617266416,0.1507547953061363,0.13080579689313293,0.12013267697692154,0.6197585416087441,3827,76
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.3549766967963128,0.39499288665126675,0.3417893727205672,0.37304028130640055,0.4913789141429702,157,12
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.046310828814215,0.08696696418370217,0.08120315510896062,0.06424146272443368,0.3209487083622498,3827,76
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,1,0.2898891862178574,0.31326510086979936,0.33503777247104743,0.2579714005950764,0.6200271760011978,752,12
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.09562605386231256,0.12728295574979243,0.12821762843635254,0.10258336654680042,0.3153496159926685,1802,38
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.11440189277327471,0.14989509592842568,0.13036529017138326,0.11933933349619129,0.6039430922987612,3827,76
primary,L2_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,c_rate_holdout_fold,1,0.29540675909569736,0.41775477094411223,0.31489032638319076,0.31994637559859507,0.4677474693781689,157,12
primary,L2_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,condition_fold,5,0.21156993729003495,0.2756541878430073,0.23829842891456865,0.23937932317046812,0.4406139454114512,3827,76
primary,L2_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,profile_holdout_fold,1,0.21848364737320627,0.29249985833117903,0.24167723150623818,0.24557434072106477,0.4032619965030773,752,12
primary,L2_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,temperature_holdout_fold,2,0.21390333115452925,0.2758285044563966,0.23957664887432312,0.23713240890914747,0.4618677018036634,1802,38
primary,L2_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,voltage_window_holdout_fold,3,0.28235175787922534,0.34354700370318064,0.3050266471577243,0.3091395515913229,0.5104834851146333,3827,76
primary,L2_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,c_rate_holdout_fold,1,0.17181737148053972,0.2694531010550934,0.24291862875657566,0.21138581452176192,0.4829927111116467,157,12
primary,L2_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,condition_fold,5,0.05223118137943492,0.10168821707723583,0.09795152405001048,0.06211999903701861,0.46797941832677603,3827,76
primary,L2_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,profile_holdout_fold,1,0.05997992191498973,0.10210818417658309,0.0798737110712637,0.057034465674994574,0.23187511843711014,752,12
primary,L2_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,temperature_holdout_fold,2,0.055163696586107105,0.11674402792699884,0.10668356677383506,0.05279542989715533,0.39085675917555035,1802,38
primary,L2_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05825110912861712,0.10114006370797711,0.09381253182852577,0.06762040575144719,0.4718112092106283,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,c_rate_holdout_fold,1,0.2371301261382974,0.3351064939290617,0.2523882641046283,0.2509878476461567,0.3750528548937256,157,12
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,5,0.15012346593937825,0.20245494258862892,0.17754289265182838,0.16906678387817697,0.363307156981604,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,profile_holdout_fold,1,0.1459424414351641,0.20822766848581048,0.17105529611098644,0.15672309929763195,0.3689291086851555,752,12
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,temperature_holdout_fold,2,0.1540689326002859,0.2086509925130985,0.18431478002342588,0.17217502265608645,0.37085123975753387,1802,38
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,3,0.18536597747951186,0.23822248227634757,0.2098591720575317,0.1967442101008016,0.4077733827397812,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,c_rate_holdout_fold,1,0.15884407179273394,0.2535599468231681,0.23040030708912915,0.19945752956011098,0.45703838859588997,157,12
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,5,0.04713501743244889,0.09419710814307317,0.09110161355395632,0.05821270523632194,0.4505598463983958,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,profile_holdout_fold,1,0.04928776962600073,0.09253772921830483,0.06993946017756594,0.05001691827704259,0.23179593867686202,752,12
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,temperature_holdout_fold,2,0.050257619333530054,0.11160530704712276,0.09985470484621416,0.0553176384290918,0.4041606659857841,1802,38
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05500531262943331,0.09523187177189174,0.09392046018332008,0.06968804081514185,0.46809616837395557,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,c_rate_holdout_fold,1,0.24257171419284895,0.3393770337462249,0.258130115897997,0.2577843303844447,0.38968299995600825,157,12
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,condition_fold,5,0.15022701197632576,0.202392511493166,0.17922386172081345,0.16924837470000959,0.4129111900944344,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,profile_holdout_fold,1,0.14092325119794513,0.20338654589025834,0.1682309530097362,0.15075871509140049,0.3789662524610856,752,12
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,temperature_holdout_fold,2,0.15313923095012497,0.20656960059411256,0.18419442821268975,0.171236512863223,0.37612173154102635,1802,38
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,voltage_window_holdout_fold,3,0.1853536447740839,0.23757277780656816,0.21072218399732576,0.19780626816834898,0.41173463899984136,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,c_rate_holdout_fold,1,0.15797549991009313,0.2550729212444231,0.22927275414339673,0.19332938902723718,0.44723576228315237,157,12
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,condition_fold,5,0.04645638971661632,0.093174598512479,0.08945970759399642,0.05757675117249798,0.4299676678504833,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,profile_holdout_fold,1,0.0591294066963903,0.0984215429195489,0.07912564455475855,0.06311317237096714,0.25270834610367204,752,12
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,temperature_holdout_fold,2,0.049192107451856565,0.10986063268830201,0.09832480387851399,0.051423745507858956,0.3507875228735358,1802,38
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,voltage_window_holdout_fold,3,0.059498659511041434,0.09544330759307589,0.09435277718993762,0.068958342776637,0.4312929911759312,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.24168020904790732,0.3392348054989282,0.2577120154604516,0.26092325423645335,0.3786410378775122,157,12
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,5,0.1502142643908732,0.20223440017339595,0.1794369015196386,0.17017932510774317,0.4069286605479267,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,profile_holdout_fold,1,0.1432201795914825,0.20479567285550573,0.17101837407803885,0.15151981315189778,0.38285645531411217,752,12
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,temperature_holdout_fold,2,0.15338372835601433,0.2065703672602428,0.18415352165184778,0.17066296792128455,0.37806367373563887,1802,38
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,3,0.18613241240427017,0.2382532295787595,0.21264396370420754,0.1977800764053316,0.4186422356337571,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,c_rate_holdout_fold,1,0.15978740505917224,0.251870989683072,0.22069549869582494,0.2084022963591249,0.38845757583878426,157,12
