comparison,target,split_name,heldout_fold,reference_model_level,reference_feature_group,candidate_model_level,candidate_feature_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
true_neural_sequence_vs_shuffled,delta_capacity_Ah,voltage_window_holdout_fold,1,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.14413395692053468,0.1980243972685714,-0.05389044034803672,1130,28
true_neural_sequence_vs_shuffled,delta_capacity_Ah,voltage_window_holdout_fold,2,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.18068911257749395,0.2015103105955565,-0.020821198018062537,1371,32
true_neural_sequence_vs_shuffled,delta_capacity_Ah,voltage_window_holdout_fold,3,NS2_ridge_flat_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS1_ridge_flat_true_sequence,E1_f4_plus_event_sequence_tensor,0.2681685423889381,0.33303707958627626,-0.06486853719733815,1326,16
true_neural_sequence_vs_shuffled,capacity_Ah_k1,c_rate_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.4237235603539846,0.4399003024767827,-0.01617674212279807,157,12
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,0,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.049320797659835304,0.05350665825437275,-0.004185860594537447,844,16
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.04858081823269038,0.04916663315121949,-0.0005858149185291109,865,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,2,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.04514979427325338,0.04685912620105621,-0.001709331927802829,892,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,3,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.085697663092541,0.08093220083135276,0.004765462261188236,509,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,condition_fold,4,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.0795855802638549,0.08677187820762138,-0.007186297943766476,717,15
true_neural_sequence_vs_shuffled,capacity_Ah_k1,profile_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.324612127423894,0.1945167249403359,0.1300954024835581,752,12
true_neural_sequence_vs_shuffled,capacity_Ah_k1,temperature_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.13473434675428136,0.10415620602928978,0.030578140724991584,742,19
true_neural_sequence_vs_shuffled,capacity_Ah_k1,temperature_holdout_fold,2,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.14026657256183564,0.14175451749234785,-0.0014879449305122139,1060,19
true_neural_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.1332180715729625,0.152967651113945,-0.019749579540982498,1130,28
true_neural_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,2,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.15631912864905514,0.223363625602847,-0.06704449695379186,1371,32
true_neural_sequence_vs_shuffled,capacity_Ah_k1,voltage_window_holdout_fold,3,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.14559010726978053,0.2021084647651854,-0.056518357495404875,1326,16
true_neural_sequence_vs_shuffled,delta_capacity_Ah,c_rate_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.22629146405726344,0.32253812627741524,-0.0962466622201518,157,12
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,0,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.048985762942692884,0.047183526515465285,0.0018022364272275992,844,16
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.04323541628900947,0.05648662572388805,-0.013251209434878584,865,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,2,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.03521202811451455,0.037691134105188644,-0.0024791059906740937,892,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,3,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.08500843051941472,0.08060031758322682,0.004408112936187897,509,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,condition_fold,4,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.05536550983361314,0.0649186991753977,-0.00955318934178457,717,15
true_neural_sequence_vs_shuffled,delta_capacity_Ah,profile_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.16039613484882115,0.1275070651054623,0.03288906974335884,752,12
true_neural_sequence_vs_shuffled,delta_capacity_Ah,temperature_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.18127373723824197,0.16577084065759534,0.01550289658064663,742,19
true_neural_sequence_vs_shuffled,delta_capacity_Ah,temperature_holdout_fold,2,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.09986569685882256,0.09402939074559273,0.005836306113229828,1060,19
true_neural_sequence_vs_shuffled,delta_capacity_Ah,voltage_window_holdout_fold,1,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.13755045707159094,0.12253834114036806,0.015012115931222883,1130,28
true_neural_sequence_vs_shuffled,delta_capacity_Ah,voltage_window_holdout_fold,2,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.16646914018893705,0.1364284400476227,0.030040700141314353,1371,32
true_neural_sequence_vs_shuffled,delta_capacity_Ah,voltage_window_holdout_fold,3,NS6_cnn_lstm_shuffled_sequence,E1_f4_plus_event_sequence_tensor,NS5_cnn_lstm_true_sequence,E1_f4_plus_event_sequence_tensor,0.085253076102038,0.09323890358996278,-0.007985827487924785,1326,16
