epoch,train_loss,val_loss,target,split_name,heldout_fold,model_level
51,0.013336310739089785,0.03983033075928688,capacity_Ah_k1,condition_fold,0,NS3_cnn1d_true_sequence
52,0.011977876879666982,0.036932799965143204,capacity_Ah_k1,condition_fold,0,NS3_cnn1d_true_sequence
1,0.18094823558471704,0.18740762770175934,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
2,0.1462009209943445,0.19910825788974762,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
3,0.11884262148094804,0.1529509574174881,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
4,0.11054157795335509,0.16743159294128418,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
5,0.09704791631941732,0.13936737179756165,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
6,0.09061214195466355,0.13448964059352875,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
7,0.08698551672951955,0.1628796011209488,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
8,0.08756644119459547,0.13699929416179657,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
9,0.07774019045265097,0.14009909331798553,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
10,0.07256842534498949,0.14667588472366333,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
11,0.07692597228053369,0.1362595409154892,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
12,0.0704783276213627,0.15819858014583588,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
13,0.0743361333091008,0.12087345123291016,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
14,0.07279476523399353,0.12229273468255997,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
15,0.07001075067704446,0.1379290223121643,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
16,0.05867627566974414,0.11758223921060562,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
17,0.06528937235768688,0.13729597628116608,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
18,0.06013336255656261,0.11961057037115097,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
19,0.055772565256216024,0.11542132496833801,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
20,0.051473460454297695,0.10631547123193741,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
21,0.0575486040723167,0.11232584714889526,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
22,0.050346078963852244,0.1268572360277176,delta_capacity_Ah,condition_fold,0,NS3_cnn1d_true_sequence
