run_scope,target,split_name,heldout_fold,model_level,feature_group,train_rows,test_rows,test_parameter_sets
primary,delta_pulse_1s_resistance,temperature_holdout_fold,2,L2_hist_gradient_boosting,P3_state_nominal,2719,1029,19
primary,delta_pulse_1s_resistance,temperature_holdout_fold,2,L2_hist_gradient_boosting,P4_state_log_age_scalar,2719,1029,19
primary,delta_pulse_1s_resistance,temperature_holdout_fold,2,L2_hist_gradient_boosting,P5_stress_v1_1,2719,1029,19
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L0_persistence,P0_persistence,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L1_ridge,P0_persistence,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L1_ridge,P1_state_time,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L1_ridge,P2_state_capacity,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L1_ridge,P3_state_nominal,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L1_ridge,P4_state_log_age_scalar,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L1_ridge,P5_stress_v1_1,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P0_persistence,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P1_state_time,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P2_state_capacity,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P3_state_nominal,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P4_state_log_age_scalar,3605,143,12
primary,delta_pulse_1s_resistance,c_rate_holdout_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,3605,143,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L0_persistence,P0_persistence,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L1_ridge,P0_persistence,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L1_ridge,P1_state_time,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L1_ridge,P2_state_capacity,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L1_ridge,P3_state_nominal,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L1_ridge,P4_state_log_age_scalar,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L1_ridge,P5_stress_v1_1,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P0_persistence,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P1_state_time,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P2_state_capacity,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P3_state_nominal,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P4_state_log_age_scalar,3015,733,12
primary,delta_pulse_1s_resistance,profile_holdout_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,3015,733,12
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L0_persistence,P0_persistence,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L1_ridge,P0_persistence,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L1_ridge,P1_state_time,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L1_ridge,P2_state_capacity,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L1_ridge,P3_state_nominal,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L1_ridge,P4_state_log_age_scalar,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L1_ridge,P5_stress_v1_1,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P0_persistence,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P1_state_time,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P2_state_capacity,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P3_state_nominal,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P4_state_log_age_scalar,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,1,L2_hist_gradient_boosting,P5_stress_v1_1,2656,1092,28
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L0_persistence,P0_persistence,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L1_ridge,P0_persistence,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L1_ridge,P1_state_time,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L1_ridge,P2_state_capacity,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L1_ridge,P3_state_nominal,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L1_ridge,P4_state_log_age_scalar,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L1_ridge,P5_stress_v1_1,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P0_persistence,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P1_state_time,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P2_state_capacity,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P3_state_nominal,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P4_state_log_age_scalar,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,2,L2_hist_gradient_boosting,P5_stress_v1_1,2415,1333,32
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L0_persistence,P0_persistence,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L1_ridge,P0_persistence,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L1_ridge,P1_state_time,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L1_ridge,P2_state_capacity,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L1_ridge,P3_state_nominal,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L1_ridge,P4_state_log_age_scalar,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L1_ridge,P5_stress_v1_1,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P0_persistence,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P1_state_time,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P2_state_capacity,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P3_state_nominal,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P4_state_log_age_scalar,2425,1323,16
primary,delta_pulse_1s_resistance,voltage_window_holdout_fold,3,L2_hist_gradient_boosting,P5_stress_v1_1,2425,1323,16
sensitivity_excluding_monotonicity,delta_pulse_1s_resistance,condition_fold,0,L0_persistence,P0_persistence,2106,609,16
