target,split_name,best_model_level,best_feature_group,condition_mean_mae,worst_condition_mae,test_rows
delta_pulse_1s_resistance,c_rate_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0019497144392911405,0.004904943286667462,143
delta_pulse_1s_resistance,condition_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0009520073043093776,0.0035056590209855062,3748
delta_pulse_1s_resistance,profile_holdout_fold,L2_hist_gradient_boosting,P3_state_nominal,0.0009432958126995584,0.0028156265704216963,733
delta_pulse_1s_resistance,temperature_holdout_fold,L2_hist_gradient_boosting,P5_stress_v1_1,0.0010960799429899576,0.004328475571774233,1756
delta_pulse_1s_resistance,voltage_window_holdout_fold,L2_hist_gradient_boosting,P1_state_time,0.0011741487559079366,0.005074915571455001,3748
