split_name,delta_target,delta_condition_mean_mae,delta_best_model_level,delta_best_feature_group,k1_target,k1_condition_mean_mae,k1_best_model_level,k1_best_feature_group
c_rate_holdout_fold,delta_pulse_1s_resistance,0.0019497144392911405,L2_hist_gradient_boosting,P3_state_nominal,missing,missing,missing,missing
condition_fold,delta_pulse_1s_resistance,0.0009520073043093776,L2_hist_gradient_boosting,P5_stress_v1_1,missing,missing,missing,missing
profile_holdout_fold,delta_pulse_1s_resistance,0.0009432958126995584,L2_hist_gradient_boosting,P3_state_nominal,missing,missing,missing,missing
temperature_holdout_fold,delta_pulse_1s_resistance,0.0010960799429899576,L2_hist_gradient_boosting,P5_stress_v1_1,missing,missing,missing,missing
voltage_window_holdout_fold,delta_pulse_1s_resistance,0.0011741487559079366,L2_hist_gradient_boosting,P1_state_time,missing,missing,missing,missing
