model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,1,0.12111337027387402,0.12509339593885777,-0.003980025664983747,0.14943589800373405,0.14255465756071545,0.006881240443018605
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.12706250834259772,0.15526863662622287,-0.028206128283625148,0.16457448321894874,0.17143543395059244,-0.006860950731643695
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.22853597380751176,0.39683474873216323,-0.16829877492465148,0.24116564437648536,0.33772336603558717,-0.09655772165910181
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,1,0.12690012428420208,0.12334007540934874,0.0035600488748533388,0.16264014634352023,0.14486552308873227,0.017774623254787958
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.12195612055057656,0.1482444170266013,-0.026288296476024736,0.16475410873474167,0.16810802026225022,-0.003353911527508552
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.22531080823142213,0.4181280205204108,-0.19281721228898868,0.2387385496684895,0.35648136864556773,-0.11774281897707822
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,1,0.12026113927618795,0.10743197997365923,0.012829159302528717,0.14745233908994057,0.12541353621601078,0.022038802873929786
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.12470025756052591,0.1482182110688957,-0.0235179535083698,0.1558541374405085,0.1601146973062852,-0.004260559865776697
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.4698375593668537,0.43706495944565577,0.03277259992119791,0.5835367620073731,0.365723095199465,0.21781366680790815
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.08173421578436833,0.08985545900673823,-0.0081212432223699,0.10113277130259181,0.10052211375194971,0.0006106575506421019
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.10071580902187305,0.11973796603775348,-0.019022157015880434,0.13238399121809843,0.13508153937115577,-0.0026975481530573386
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.30773947258841033,0.3283575386446679,-0.020618066056257545,0.4339322030142802,0.33138718123612115,0.10254502177815905
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.07625761784761585,0.08435076088163217,-0.008093143034016315,0.10251578832333012,0.1089032652103799,-0.00638747688704977
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.08614753187877473,0.11797488327159812,-0.03182735139282339,0.12127104644413574,0.1452276575470917,-0.023956611102955952
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.2811137483128539,0.3034084878060916,-0.02229473949323768,0.38320912722989964,0.3276370172462209,0.05557210998367873
